Latitude,Longitude,City,Count of AirBNBs,,
33.7489924,-84.3902644,"Atlanta, Georgia",10795,,
30.8736613,-84.5740953,"Decatur, Georgia",819,,
33.883887,-84.5147454,"Smyrna, Georgia",472,,
33.8188333,-84.5822632,"Mableton, Georgia",141,,
33.8126059,-84.6343783,"Austell, Georgia",109,,
33.7939953,-84.6604899,"Lithia Springs, Georgia",43,,
33.8062166,-84.1457505,"Stone Mountain, Georgia",338,,
33.857328,-84.0199108,"Snellville, Georgia",132,,
33.7123305,-84.1051939,"Lithonia, Georgia",262,,
34.0342663,-84.412428,"Ellenwood, Georgia",112,,
33.5442781,-84.2338093,"Stockbridge, Georgia",124,,
33.5831662,-84.3393683,"Morrow, Georgia",41,,
33.5215013,-84.3538128,"Jonesboro, Georgia",208,,
33.5726113,-84.4132594,"Riverdale, Georgia",167,,
33.5670562,-84.5810418,"Fairburn, Georgia",130,,
33.5870558,-84.5424299,"Union City, Georgia",117,,
33.9528472,-84.5496148,"Marietta, Georgia",697,,
34.0234337,-84.6154897,"Kennesaw, Georgia",220,,
34.0659329,-84.6768796,"Acworth, Georgia",129,,
34.02332,-84.360022,"Roswell, Georgia",142,,
34.0709576,-84.2747329,"Alpharetta, Georgia",229,,
33.9412127,-84.2135309,"Norcross, Georgia",158,,
34.0028569,-84.1441046,"Duluth, Georgia",201,,
33.9887165,-83.8979573,"Dacula, Georgia",46,,
33.9562149,-83.9879625,"Lawrenceville, Georgia",436,,
33.8901036,-84.1429719,"Lilburn, Georgia",95,,
33.8942729,-83.95574,"Grayson, Georgia",15,,
33.8389977,-83.9007382,"Loganville, Georgia",51,,
33.6676103,-84.0176904,"Conyers, Georgia",172,,
33.4473361,-84.1468616,"McDonough, Georgia",143,,
34.0136622,-83.8273503,"Auburn, Georgia",7,,
33.8532701,-84.2200729,"Tucker, Georgia",93,,
33.8095487,-84.2396434,"Clarkston, Georgia",31,,
33.6448311,-84.3257571,"Conley, Georgia",63,,
33.6220542,-84.3690918,"Forest Park, Georgia",61,,
33.4487257,-84.4549262,"Fayetteville, Georgia",114,,
33.5178907,-84.6696549,"Palmetto, Georgia",56,,
33.7514966,-84.7477136,"Douglasville, Georgia",137,,
34.1014112,-84.5192192,"Woodstock, Georgia",131,,
33.9237141,-84.8407732,"Dallas, Georgia",63,,
34.1206564,-84.0043513,"Buford, Georgia",162,,
34.2073196,-84.1401926,"Cumming, Georgia",87,,
34.2367621,-84.4907621,"Canton, Georgia",59,,
33.5967815,-83.8601827,"Covington, Georgia",168,,
33.3870578,-84.2829784,"Hampton, Georgia",68,,
33.6190031,-83.8674052,"Oxford, Georgia",12,,
33.0142344,-83.9044159,"Monroe, Georgia",30,,
34.1652304,-84.7997613,"Cartersville, Georgia",78,,
34.0514898,-84.0712997,"Suwanee, Georgia",48,,
33.3967829,-84.5957629,"Peachtree City, Georgia",114,,
33.4713249,-84.5972005,"Tyrone, Georgia",14,,
33.3806716,-84.7996573,"Newnan, Georgia",92,,
33.5801103,-85.0766113,"Carrollton, Georgia",35,,
33.7331945,-85.0311242,"Temple, Georgia",4,,
33.725108,-84.8249382,"Winston, Georgia",7,,
33.732052,-84.9191081,"Villa Rica, Georgia",58,,
33.8756601,-84.7621592,"Hiram, Georgia",25,,
33.8595492,-84.683824,"Powder Springs, Georgia",81,,
33.3392842,-84.6485417,"Sharpsburg, Georgia",16,,
33.3459495,-84.109083,"Locust Grove, Georgia",27,,
