SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
50,13,1,Georgia,Appling County,1,18444,9252,9192,1171,601,570,2363,1191,1172,1032,515,517,1512,838,674,14362,7187,7175,13878,6945,6933,6608,3445,3163,4333,2223,2110,4763,2385,2378,3270,1499,1771,1171,601,570,1283,630,653,1349,692,657,1174,617,557,1101,605,496,1109,600,509,1008,508,500,1089,565,524,1127,550,577,1117,550,567,1110,574,536,1257,636,621,1279,625,654,1053,512,541,913,453,460,607,260,347,385,158,227,312,116,196,39.7,38.3,41.2
50,13,1,Georgia,Appling County,2,18428,9247,9181,1168,599,569,2344,1179,1165,1042,522,520,1502,830,672,14366,7192,7174,13874,6947,6927,6594,3432,3162,4321,2216,2105,4741,2383,2358,3310,1518,1792,1168,599,569,1279,626,653,1336,689,647,1172,610,562,1101,606,495,1102,596,506,1007,507,500,1087,564,523,1125,549,576,1113,548,565,1117,577,540,1244,633,611,1267,625,642,1068,519,549,923,454,469,610,262,348,394,163,231,315,120,195,39.8,38.4,41.2
50,13,1,Georgia,Appling County,3,18488,9262,9226,1148,576,572,2344,1179,1165,1057,539,518,1514,830,684,14451,7225,7226,13939,6968,6971,6651,3475,3176,4352,2251,2101,4642,2327,2315,3431,1560,1871,1148,576,572,1282,634,648,1334,690,644,1178,602,576,1121,622,499,1100,591,509,1044,546,498,1095,565,530,1113,549,564,1085,530,555,1124,581,543,1189,595,594,1244,621,623,1106,532,574,967,472,495,620,274,346,400,155,245,338,127,211,39.7,38.3,41.3
50,13,3,Georgia,Atkinson County,1,8286,4228,4058,583,299,284,1080,559,521,511,251,260,737,372,365,6372,3248,3124,6112,3119,2993,3271,1692,1579,2151,1130,1021,2092,1058,1034,1132,559,573,583,299,284,594,303,291,614,317,297,590,304,286,530,258,272,548,274,274,554,319,235,526,270,256,523,267,256,512,267,245,566,292,274,516,258,258,498,241,257,372,192,180,326,163,163,213,106,107,143,64,79,78,34,44,36.0,35.6,36.6
50,13,3,Georgia,Atkinson County,2,8301,4240,4061,584,300,284,1081,562,519,511,252,259,735,372,363,6383,3253,3130,6125,3126,2999,3279,1697,1582,2162,1137,1025,2104,1061,1043,1124,556,568,584,300,284,595,306,289,615,320,295,587,302,285,530,258,272,557,279,278,557,321,236,525,270,255,523,267,256,515,268,247,562,286,276,527,266,261,500,241,259,367,191,176,328,162,166,212,107,105,141,63,78,76,33,43,36.0,35.5,36.6
50,13,3,Georgia,Atkinson County,3,8391,4262,4129,580,300,280,1075,549,526,506,253,253,783,382,401,6482,3285,3197,6230,3160,3070,3328,1702,1626,2164,1132,1032,2123,1069,1054,1160,577,583,580,300,280,614,314,300,586,300,286,599,307,292,565,263,302,574,289,285,555,315,240,522,272,250,513,256,257,517,273,244,565,284,281,536,275,261,505,237,268,372,189,183,348,170,178,217,116,101,142,65,77,81,37,44,36.1,35.7,36.5
50,13,5,Georgia,Bacon County,1,11140,5474,5666,744,373,371,1438,729,709,655,333,322,946,493,453,8628,4199,4429,8303,4039,4264,4182,2102,2080,2752,1373,1379,2720,1348,1372,1885,825,1060,744,373,371,765,392,373,844,434,410,749,378,371,681,351,330,645,331,314,713,359,354,609,285,324,785,398,387,728,389,339,706,350,356,627,306,321,659,303,356,676,317,359,513,226,287,320,144,176,235,90,145,141,48,93,38.6,37.1,39.8
50,13,5,Georgia,Bacon County,2,11123,5456,5667,754,379,375,1425,723,702,653,333,320,945,493,452,8615,4179,4436,8291,4021,4270,4165,2091,2074,2736,1361,1375,2716,1344,1372,1894,823,1071,754,379,375,760,392,368,834,427,407,747,378,369,682,352,330,645,331,314,708,356,352,610,286,324,773,388,385,731,392,339,699,346,353,627,303,324,659,303,356,676,309,367,522,233,289,317,142,175,238,92,146,141,47,94,38.6,36.9,39.9
50,13,5,Georgia,Bacon County,3,11079,5411,5668,740,373,367,1403,686,717,671,351,320,939,501,438,8598,4164,4434,8265,4001,4264,4148,2078,2070,2709,1317,1392,2712,1347,1365,1905,836,1069,740,373,367,747,373,374,827,404,423,761,399,362,678,362,316,671,344,327,682,328,354,612,286,326,744,359,385,743,399,344,694,350,344,626,294,332,649,304,345,669,300,369,537,247,290,323,145,178,232,92,140,144,52,92,38.5,36.9,39.8
50,13,7,Georgia,Baker County,1,2876,1438,1438,158,93,65,271,127,144,131,61,70,207,101,106,2377,1182,1195,2316,1157,1159,901,446,455,599,304,295,817,415,402,693,337,356,158,93,65,141,70,71,166,77,89,155,69,86,147,73,74,164,87,77,152,81,71,148,64,84,135,72,63,179,89,90,179,90,89,224,107,117,235,129,106,227,118,109,196,95,101,113,49,64,71,33,38,86,42,44,47.2,47.3,47.2
