STNAME,CTYNAME,YEAR,POPESTIMATE,UNDER5_TOT,AGE513_TOT,AGE1417_TOT,TOTAL_KIDS
,,,,,,,
Georgia,Appling County,2,18428,1168,2344,1042,4554
Georgia,Atkinson County,2,8301,584,1081,511,2176
Georgia,Bacon County,2,11123,754,1425,653,2832
Georgia,Baker County,2,2844,156,267,128,551
Georgia,Baldwin County,2,43773,1952,4201,1960,8113
Georgia,Banks County,2,18069,984,1948,975,3907
Georgia,Barrow County,2,83963,5406,11155,5118,21679
Georgia,Bartow County,2,109311,6628,13109,6262,25999
Georgia,Ben Hill County,2,17153,1070,2187,979,4236
Georgia,Berrien County,2,18159,1104,2171,1075,4350
Georgia,Bibb County,2,157104,10039,19578,8510,38127
Georgia,Bleckley County,2,12577,638,1273,618,2529
Georgia,Brantley County,2,18040,1077,2120,1016,4213
Georgia,Brooks County,2,16232,885,1824,812,3521
Georgia,Bryan County,2,44999,3230,7024,3121,13375
Georgia,Bulloch County,2,81378,4532,8087,3654,16273
Georgia,Burke County,2,24621,1597,3211,1494,6302
Georgia,Butts County,2,25542,1402,2668,1182,5252
Georgia,Calhoun County,2,5560,208,477,252,937
Georgia,Camden County,2,54911,3758,6854,2699,13311
Georgia,Candler County,2,11001,698,1448,671,2817
Georgia,Carroll County,2,119463,7531,14134,6597,28262
Georgia,Catoosa County,2,67976,3532,7872,3957,15361
Georgia,Charlton County,2,12530,548,1229,505,2282
Georgia,Chatham County,2,294904,17473,30875,13424,61772
Georgia,Chattahoochee County,2,9482,793,1091,277,2161
Georgia,Chattooga County,2,24921,1469,2852,1276,5597
Georgia,Cherokee County,2,268043,14860,32350,16465,63675
Georgia,Clarke County,2,128489,6259,11158,4584,22001
Georgia,Clay County,2,2835,159,271,146,576
Georgia,Clayton County,2,297417,21353,42227,18474,82054
Georgia,Clinch County,2,6723,435,864,390,1689
Georgia,Cobb County,2,766209,44410,89594,42991,176995
Georgia,Coffee County,2,43047,2878,5350,2291,10519
Georgia,Colquitt County,2,45866,2954,6114,2712,11780
Georgia,Columbia County,2,156773,9629,20573,9552,39754
Georgia,Cook County,2,17232,1076,2273,1044,4393
Georgia,Coweta County,2,146653,8293,17707,8857,34857
Georgia,Crawford County,2,12100,577,1273,615,2465
Georgia,Crisp County,2,20042,1197,2437,1165,4799
Georgia,Dade County,2,16224,795,1591,763,3149
Georgia,Dawson County,2,27047,1444,2703,1312,5459
Georgia,Decatur County,2,29338,2052,3528,1660,7240
Georgia,DeKalb County,2,763831,50915,87657,36598,175170
Georgia,Dodge County,2,19849,959,1964,918,3841
Georgia,Dooly County,2,11142,447,918,477,1842
Georgia,Dougherty County,2,85366,5452,10280,4423,20155
Georgia,Douglas County,2,144497,8660,18939,9477,37076
Georgia,Early County,2,10813,689,1357,640,2686
Georgia,Echols County,2,3696,231,564,214,1009
Georgia,Effingham County,2,65150,4254,9044,4066,17364
Georgia,Elbert County,2,19627,1105,2278,955,4338
Georgia,Emanuel County,2,22730,1509,2934,1276,5719
Georgia,Evans County,2,10757,666,1465,736,2867
Georgia,Fannin County,2,25396,970,2076,1074,4120
Georgia,Fayette County,2,119441,5277,14266,8036,27579
Georgia,Floyd County,2,98593,5698,11563,5457,22718
Georgia,Forsyth County,2,252786,14245,35785,17692,67722
Georgia,Franklin County,2,23429,1371,2573,1226,5170
Georgia,Fulton County,2,1069023,58516,114858,53543,226917
Georgia,Gilmer County,2,31429,1538,2987,1366,5891
Georgia,Glascock County,2,2883,145,316,159,620
Georgia,Glynn County,2,84470,4492,9231,4346,18069
Georgia,Gordon County,2,57696,3352,6961,3451,13764
