STNAME,CTYNAME,YEAR,POPESTIMATE,UNDER5_TOT,AGE513_TOT,AGE1417_TOT,TOTAL_KIDS_2021
Georgia,Appling County,3,18488,1148,2344,1057,4549
Georgia,Atkinson County,3,8391,580,1075,506,2161
Georgia,Bacon County,3,11079,740,1403,671,2814
Georgia,Baker County,3,2819,134,278,129,541
Georgia,Baldwin County,3,43781,1963,4101,1974,8038
Georgia,Banks County,3,18562,1019,1950,972,3941
Georgia,Barrow County,3,86658,5432,11314,5382,22128
Georgia,Bartow County,3,110843,6604,13122,6290,26016
Georgia,Ben Hill County,3,17158,1072,2158,1024,4254
Georgia,Berrien County,3,18147,1101,2148,1093,4342
Georgia,Bibb County,3,156762,9864,19278,8632,37774
Georgia,Bleckley County,3,12607,626,1253,627,2506
Georgia,Brantley County,3,18101,1055,2124,1039,4218
Georgia,Brooks County,3,16270,856,1833,819,3508
Georgia,Bryan County,3,46938,3262,7226,3291,13779
Georgia,Bulloch County,3,82442,4457,8178,3738,16373
Georgia,Burke County,3,24310,1458,3164,1458,6080
Georgia,Butts County,3,25781,1377,2678,1231,5286
Georgia,Calhoun County,3,5509,229,435,231,895
Georgia,Camden County,3,55664,3725,6966,2810,13501
Georgia,Candler County,3,11037,690,1441,708,2839
Georgia,Carroll County,3,121968,7620,14354,6775,28749
Georgia,Catoosa County,3,68397,3474,7814,4019,15307
Georgia,Charlton County,3,12766,580,1241,508,2329
Georgia,Chatham County,3,296329,17026,30512,13659,61197
Georgia,Chattahoochee County,3,9048,752,1024,270,2046
Georgia,Chattooga County,3,24932,1459,2779,1279,5517
Georgia,Cherokee County,3,274615,14638,32216,16600,63454
Georgia,Clarke County,3,128711,6083,10905,4683,21671
Georgia,Clay County,3,2882,150,282,154,586
Georgia,Clayton County,3,297100,20642,41393,18843,80878
Georgia,Clinch County,3,6725,441,857,399,1697
Georgia,Cobb County,3,766802,43147,87514,43283,173944
Georgia,Coffee County,3,43386,2810,5361,2345,10516
Georgia,Colquitt County,3,45812,2913,5961,2819,11693
Georgia,Columbia County,3,159639,9416,20817,9744,39977
Georgia,Cook County,3,17225,1019,2260,1087,4366
Georgia,Coweta County,3,149956,8288,17815,8907,35010
Georgia,Crawford County,3,12153,536,1277,645,2458
Georgia,Crisp County,3,19879,1162,2396,1176,4734
Georgia,Dade County,3,16326,760,1622,776,3158
Georgia,Dawson County,3,28497,1540,2817,1393,5750
Georgia,Decatur County,3,29038,1949,3497,1638,7084
Georgia,DeKalb County,3,757718,49273,85258,36717,171248
Georgia,Dodge County,3,19759,963,1895,934,3792
Georgia,Dooly County,3,10885,440,850,451,1741
Georgia,Dougherty County,3,84844,5476,10138,4542,20156
Georgia,Douglas County,3,145814,8689,18785,9654,37128
Georgia,Early County,3,10619,665,1312,630,2607
Georgia,Echols County,3,3699,238,517,232,987
Georgia,Effingham County,3,66741,4257,9210,4231,17698
Georgia,Elbert County,3,19579,1087,2258,992,4337
Georgia,Emanuel County,3,22716,1472,2913,1342,5727
Georgia,Evans County,3,10672,635,1378,744,2757
Georgia,Fannin County,3,25817,963,2041,1088,4092
Georgia,Fayette County,3,120574,5187,14287,8013,27487
Georgia,Floyd County,3,98771,5605,11367,5545,22517
Georgia,Forsyth County,3,260206,14198,36050,17999,68247
Georgia,Franklin County,3,23785,1369,2646,1243,5258
Georgia,Fulton County,3,1065334,57421,112688,53729,223838
Georgia,Gilmer County,3,32026,1569,2946,1427,5942
Georgia,Glascock County,3,2919,146,306,161,613
Georgia,Glynn County,3,84739,4412,9069,4300,17781
Georgia,Gordon County,3,58237,3300,6875,3472,13647
Georgia,Grady County,3,25918,1570,3208,1573,6351
Georgia,Greene County,3,19536,831,1873,767,3471
Georgia,Gwinnett County,3,964546,58774,129797,65078,253649
Georgia,Habersham County,3,46774,2581,5273,2523,10377
Georgia,Hall County,3,207369,12585,24901,12679,50165
Georgia,Hancock County,3,8630,269,672,338,1279
Georgia,Haralson County,3,30572,1963,3720,1755,7438
Georgia,Harris County,3,35626,1709,4058,2000,7767
Georgia,Hart County,3,26409,1321,2721,1359,5401
Georgia,Heard County,3,11565,606,1359,672,2637
Georgia,Henry County,3,245235,13762,30979,16936,61677
Georgia,Houston County,3,166829,10430,22304,10098,42832
Georgia,Irwin County,3,9618,489,985,481,1955
Georgia,Jackson County,3,80286,4955,10592,4739,20286
Georgia,Jasper County,3,15278,827,1806,899,3532
Georgia,Jeff Davis County,3,14872,930,1981,954,3865
Georgia,Jefferson County,3,15524,928,1859,825,3612
Georgia,Jenkins County,3,8639,459,862,403,1724
Georgia,Johnson County,3,9160,493,787,408,1688
Georgia,Jones County,3,28400,1414,3329,1769,6512
Georgia,Lamar County,3,19080,1070,2022,935,4027
Georgia,Lanier County,3,9907,606,1213,538,2357
Georgia,Laurens County,3,49547,3103,6210,2898,12211
Georgia,Lee County,3,33411,1933,4505,2245,8683
Georgia,Liberty County,3,65711,6554,9028,3131,18713
Georgia,Lincoln County,3,7749,378,757,336,1471
Georgia,Long County,3,17152,1257,2451,1008,4716
Georgia,Lowndes County,3,119276,8017,14824,6352,29193
Georgia,Lumpkin County,3,34278,1468,2920,1500,5888
Georgia,McDuffie County,3,21633,1368,2783,1263,5414
Georgia,McIntosh County,3,11123,470,800,439,1709
Georgia,Macon County,3,12004,594,1110,530,2234
Georgia,Madison County,3,30885,1855,3647,1691,7193
Georgia,Marion County,3,7440,374,767,354,1495
Georgia,Meriwether County,3,20793,1159,2164,1013,4336
Georgia,Miller County,3,5919,363,654,342,1359
Georgia,Mitchell County,3,21521,1118,2475,1153,4746
Georgia,Monroe County,3,28712,1407,3118,1441,5966
Georgia,Montgomery County,3,8653,459,900,414,1773
Georgia,Morgan County,3,20635,1166,2304,1175,4645
Georgia,Murray County,3,39951,2416,4679,2437,9532
Georgia,Muscogee County,3,205617,14198,26011,10889,51098
Georgia,Newton County,3,115355,7053,14887,7653,29593
Georgia,Oconee County,3,43023,2200,6037,3068,11305
Georgia,Oglethorpe County,3,15140,786,1596,767,3149
Georgia,Paulding County,3,173780,10445,22930,11108,44483
Georgia,Peach County,3,28417,1637,2936,1376,5949
Georgia,Pickens County,3,34024,1522,3248,1690,6460
Georgia,Pierce County,3,19976,1272,2441,1211,4924
Georgia,Pike County,3,19477,1077,2287,1218,4582
Georgia,Polk County,3,43496,2896,5545,2631,11072
Georgia,Pulaski County,3,9917,445,865,474,1784
Georgia,Putnam County,3,22585,1084,2187,1088,4359
Georgia,Quitman County,3,2243,119,194,88,401
Georgia,Rabun County,3,17119,712,1303,758,2773
Georgia,Randolph County,3,6287,287,691,301,1279
Georgia,Richmond County,3,205673,13449,23081,10272,46802
Georgia,Rockdale County,3,94082,5023,11530,6011,22564
Georgia,Schley County,3,4478,245,504,317,1066
Georgia,Screven County,3,14105,798,1425,711,2934
Georgia,Seminole County,3,9197,479,919,478,1876
Georgia,Spalding County,3,67909,4337,7835,3715,15887
Georgia,Stephens County,3,26865,1560,2997,1447,6004
Georgia,Stewart County,3,5341,147,288,135,570
Georgia,Sumter County,3,29283,1742,3368,1558,6668
Georgia,Talbot County,3,5742,252,464,232,948
Georgia,Taliaferro County,3,1558,66,140,52,258
Georgia,Tattnall County,3,23052,1136,2423,1113,4672
Georgia,Taylor County,3,7799,391,775,402,1568
Georgia,Telfair County,3,12414,543,981,484,2008
Georgia,Terrell County,3,8964,495,1021,482,1998
Georgia,Thomas County,3,45842,2759,5585,2593,10937
Georgia,Tift County,3,41212,2665,5142,2354,10161
Georgia,Toombs County,3,26911,1886,3519,1714,7119
Georgia,Towns County,3,12875,454,770,389,1613
Georgia,Treutlen County,3,6306,341,739,372,1452
Georgia,Troup County,3,69720,4439,8458,4074,16971
Georgia,Turner County,3,8966,600,1095,542,2237
Georgia,Twiggs County,3,7856,365,767,359,1491
Georgia,Union County,3,25521,929,1977,1047,3953
Georgia,Upson County,3,27720,1620,3210,1469,6299
Georgia,Walker County,3,68510,3790,7503,3496,14789
Georgia,Walton County,3,99853,5830,12090,6146,24066
Georgia,Ware County,3,36033,2389,4498,2075,8962
Georgia,Warren County,3,5240,289,535,245,1069
Georgia,Washington County,3,19785,1030,2214,1053,4297
Georgia,Wayne County,3,30380,1812,3739,1746,7297
Georgia,Webster County,3,2367,111,202,119,432
Georgia,Wheeler County,3,7471,290,594,305,1189
Georgia,White County,3,28442,1349,2780,1456,5585
Georgia,Whitfield County,3,102848,6331,13176,6639,26146
Georgia,Wilcox County,3,8739,389,847,418,1654
Georgia,Wilkes County,3,9513,489,983,497,1969
Georgia,Wilkinson County,3,8831,488,967,498,1953
Georgia,Worth County,3,20554,1081,2270,1133,4484
