County,age_2020,age_2021,change_in_median
Terrell,40.4,41.3,0.9
Marion,45.4,46.1,0.7
Towns,54.8,55.5,0.7
Webster,48.2,48.9,0.7
Evans,37.4,38,0.6
Greene,51.3,51.9,0.6
Quitman,53.4,54,0.6
Echols,36.2,36.8,0.6
Glascock,43.2,43.8,0.6
Burke,38.6,39.1,0.5
Early,40.6,41.1,0.5
Grady,40.2,40.7,0.5
Treutlen,38.8,39.3,0.5
Dooly,45.3,45.7,0.4
Seminole,45.8,46.2,0.4
Tift,35.8,36.2,0.4
Calhoun,40.4,40.8,0.4
Clayton,32.9,33.3,0.4
Glynn,42.5,42.9,0.4
Miller,43,43.4,0.4
Taliaferro,51,51.4,0.4
Chatham,36.8,37.1,0.3
Cherokee,39.8,40.1,0.3
DeKalb,36.4,36.7,0.3
Gilmer,49.3,49.6,0.3
Heard,40.8,41.1,0.3
Jenkins,38.9,39.2,0.3
Pickens,46.3,46.6,0.3
Putnam,47.9,48.2,0.3
Schley,41.9,42.2,0.3
Worth,42.3,42.6,0.3
Bulloch,29.6,29.9,0.3
Columbia,37.2,37.5,0.3
Fannin,53.6,53.9,0.3
Gordon,38.7,39,0.3
Hancock,46.5,46.8,0.3
Lumpkin,37.7,38,0.3
Meriwether,43.1,43.4,0.3
Mitchell,39.6,39.9,0.3
Stephens,40.7,41,0.3
Wheeler,39.2,39.5,0.3
Wilkinson,42.5,42.8,0.3
Baldwin,36.3,36.5,0.2
Camden,34,34.2,0.2
Cobb,37.5,37.7,0.2
Crisp,40.5,40.7,0.2
Effingham,36.3,36.5,0.2
Fulton,36,36.2,0.2
Gwinnett,36,36.2,0.2
Hall,37.8,38,0.2
Johnson,42.9,43.1,0.2
Rabun,50.4,50.6,0.2
Screven,42.8,43,0.2
Turner,37.9,38.1,0.2
Whitfield,36.3,36.5,0.2
Liberty,28.6,28.8,0.2
Chattooga,40.7,40.9,0.2
Forsyth,39.2,39.4,0.2
McIntosh,51.7,51.9,0.2
Murray,38.7,38.9,0.2
Muscogee,34.6,34.8,0.2
Oconee,40.2,40.4,0.2
Rockdale,39.1,39.3,0.2
Atkinson,36,36.1,0.1
Baker,47.3,47.4,0.1
Barrow,36.1,36.2,0.1
Bibb,36.3,36.4,0.1
Bryan,34.6,34.7,0.1
Clarke,29.2,29.3,0.1
Coffee,36.1,36.2,0.1
Colquitt,37.4,37.5,0.1
Coweta,39.5,39.6,0.1
Decatur,38.5,38.6,0.1
Houston,35.9,36,0.1
Jefferson,39.8,39.9,0.1
Jones,41.1,41.2,0.1
Lincoln,47.9,48,0.1
Paulding,36.6,36.7,0.1
Peach,37.8,37.9,0.1
Pierce,39.6,39.7,0.1
Pulaski,45,45.1,0.1
Richmond,34.9,35,0.1
Spalding,39.1,39.2,0.1
Sumter,36.4,36.5,0.1
Taylor,45.3,45.4,0.1
Twiggs,47.9,48,0.1
Union,56,56.1,0.1
Walton,39.1,39.2,0.1
Washington,40.4,40.5,0.1
Lowndes,31.1,31.2,0.1
Carroll,35.2,35.3,0.1
Catoosa,41.2,41.3,0.1
Irwin,39.7,39.8,0.1
Laurens,39.2,39.3,0.1
Thomas,40.2,40.3,0.1
Wilcox,40.7,40.8,0.1
Banks,41.8,41.8,0
Bartow,38.3,38.3,0
Bleckley,38,38,0
Brooks,43.7,43.7,0
Butts,38.8,38.8,0
Charlton,39.1,39.1,0
Chattahoochee,25.1,25.1,0
Dodge,42.8,42.8,0
Elbert,42.2,42.2,0
Emanuel,37.3,37.3,0
Fayette,43.3,43.3,0
Floyd,38.4,38.4,0
Habersham,39.6,39.6,0
Henry,37.3,37.3,0
Jeff Davis,37.9,37.9,0
Lee,37.1,37.1,0
Morgan,42.8,42.8,0
Randolph,45.9,45.9,0
Stewart,35,35,0
Ware,38,38,0
Appling,39.8,39.7,-0.1
Haralson,38.8,38.7,-0.1
Lanier,37.3,37.2,-0.1
Upson,41.3,41.2,-0.1
Walker,41.8,41.7,-0.1
Bacon,38.6,38.5,-0.1
Ben Hill,39.6,39.5,-0.1
Berrien,40.1,40,-0.1
Brantley,40.9,40.8,-0.1
Candler,39.4,39.3,-0.1
Cook,38.6,38.5,-0.1
Crawford,45.2,45.1,-0.1
Douglas,37,36.9,-0.1
Harris,43.4,43.3,-0.1
Hart,45.1,45,-0.1
Jackson,37.9,37.8,-0.1
McDuffie,39.7,39.6,-0.1
Madison,40.4,40.3,-0.1
Newton,36.7,36.6,-0.1
Talbot,51.1,51,-0.1
Tattnall,38.1,38,-0.1
Toombs,37.1,37,-0.1
Wayne,38.5,38.4,-0.1
Wilkes,46,45.9,-0.1
Clinch,38.3,38.1,-0.2
Dougherty,36.3,36.1,-0.2
Oglethorpe,42.8,42.6,-0.2
Polk,37.3,37.1,-0.2
Dade,42,41.8,-0.2
Monroe,42.7,42.5,-0.2
Montgomery,39.6,39.4,-0.2
Telfair,42,41.8,-0.2
Troup,37.1,36.9,-0.2
White,45.2,45,-0.2
Clay,47,46.7,-0.3
Franklin,40.5,40.2,-0.3
Long,34.3,34,-0.3
Macon,40.9,40.6,-0.3
Pike,40.7,40.4,-0.3
Dawson,43.6,43.2,-0.4
Lamar,38.1,37.7,-0.4
Warren,46,45.6,-0.4
Jasper,41.6,40.9,-0.7
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
