geographic_area,april_2020_base_estimate,population_2020,population_2021,percent_change
"Hoschton, Georgia",2666,2743,3519,28.29019321910317
"Dawsonville, Georgia",3694,3746,4172,11.372130272290443
"Oakwood, Georgia",4818,4853,5373,10.715021636101381
"Madison, Georgia",4421,4427,4894,10.548904449966116
"Guyton, Georgia",2279,2314,2557,10.501296456352636
"Tennille, Georgia",1472,1506,1662,10.358565737051793
"Temple, Georgia",5068,5126,5623,9.695669137729224
"Clermont, Georgia",1017,1033,1132,9.583736689254598
"Port Wentworth, Georgia",10846,10877,11746,7.989335294658454
"Brooklet, Georgia",1716,1747,1876,7.384087006296508
"Ball Ground, Georgia",2485,2510,2687,7.051792828685259
"Homer, Georgia",1260,1271,1360,7.002360346184107
"Auburn, Georgia",7510,7567,8094,6.964450905246465
"Flowery Branch, Georgia",9378,9490,10144,6.891464699683877
"Harlem, Georgia",3579,3619,3866,6.825089803813208
"Mount Zion, Georgia",1759,1775,1894,6.704225352112676
"Locust Grove, Georgia",8938,9146,9750,6.603979881915592
"Lovejoy, Georgia",10475,10625,11311,6.456470588235294
"Holly Springs, Georgia",16251,16493,17473,5.941914751712848
"Braselton, Georgia",13419,13607,14383,5.702947012567061
"Perry, Georgia",20596,20905,22029,5.376704137766085
"Grantville, Georgia",3106,3114,3276,5.202312138728324
"Pooler, Georgia",25560,25601,26930,5.191203468614507
"Ludowici, Georgia",1575,1585,1665,5.047318611987381
"Chickamauga, Georgia",2929,2924,3070,4.993160054719562
"Richmond Hill, Georgia",16603,16732,17556,4.924695194836242
"Jefferson, Georgia",13223,13339,13986,4.850438563610465
"Senoia, Georgia",4993,5005,5245,4.795204795204795
"Suwanee, Georgia",20776,20968,21918,4.530713468141931
"Cornelia, Georgia",4567,4584,4791,4.515706806282722
"Maysville, Georgia",1869,1883,1965,4.354753053637812
"Lilburn, Georgia",14495,14540,15168,4.319119669876203
"Villa Rica, Georgia",16932,17099,17830,4.27510380724019
"Monticello, Georgia",2532,2540,2645,4.133858267716536
"Pembroke, Georgia",2514,2524,2624,3.9619651347068143
"Chattahoochee Hills, Georgia",2950,2970,3084,3.8383838383838382
"Loganville, Georgia",14125,14208,14720,3.6036036036036037
"Grovetown, Georgia",15646,15992,16566,3.589294647323662
"Canton, Georgia",32951,33382,34576,3.5767779042597807
"Cumming, Georgia",6966,6996,7235,3.416237850200114
"Jasper, Georgia",4090,4103,4235,3.2171581769436997
"Buford, Georgia",17078,17145,17683,3.1379410906969962
"Union Point, Georgia",1615,1626,1677,3.136531365313653
"Darien, Georgia",1466,1471,1517,3.127124405166554
"Woodstock, Georgia",34985,35105,36198,3.113516593077909
"McDonough, Georgia",29182,29448,30356,3.0834012496604184
"Winder, Georgia",18209,18266,18825,3.0603306690025183
"Kingsland, Georgia",18437,18517,19075,3.0134471026624183
"Springfield, Georgia",2909,2906,2993,2.9938059187887127
"Bogart, Georgia",1326,1327,1366,2.93896006028636
"Baldwin, Georgia",3642,3653,3755,2.7922255680262795
"Bremen, Georgia",7242,7271,7474,2.7919130793563474
"Doraville, Georgia",10616,10601,10889,2.716724837279502
"Zebulon, Georgia",1219,1222,1255,2.7004909983633385
"Jonesboro, Georgia",4399,4393,4510,2.663328021852948
"Dallas, Georgia",13969,14055,14423,2.6182853077196726
"Social Circle, Georgia",4976,4993,5121,2.5635890246344886
"Hiram, Georgia",4932,4960,5080,2.4193548387096775
"Pendergrass, Georgia",1691,1702,1740,2.2326674500587544
"Pine Mountain, Georgia",1220,1227,1254,2.2004889975550124
"Douglasville, Georgia",34698,34807,35561,2.1662309305599448
"Forsyth, Georgia",4407,4418,4512,2.127659574468085
"Gainesville, Georgia",42339,42538,43417,2.066387700409046
"Eatonton, Georgia",6282,6307,6436,2.0453464404629775
