geographic_area,april_2020_base_estimate,population_2020,population_2021
"Abbeville city, Georgia",2666,2661,2662
"Acworth city, Georgia",22443,22399,22284
"Adairsville city, Georgia",4878,4896,4979
"Adel city, Georgia",5485,5492,5507
"Adrian city, Georgia",548,547,546
"Ailey city, Georgia",520,518,523
"Alamo town, Georgia",783,776,783
"Alapaha town, Georgia",481,481,480
"Albany city, Georgia",69832,69486,69048
"Aldora town, Georgia",-,-,-
"Allenhurst city, Georgia",824,818,831
"Allentown city, Georgia",193,193,191
"Alma city, Georgia",3433,3424,3397
"Alpharetta city, Georgia",65852,65968,66127
"Alston town, Georgia",175,174,175
"Alto town, Georgia",978,977,985
"Ambrose city, Georgia",325,325,329
"Americus city, Georgia",16214,16172,15989
"Andersonville city, Georgia",239,238,235
"Arabi town, Georgia",455,453,456
"Aragon city, Georgia",1443,1452,1470
"Arcade city, Georgia",1884,1898,1923
"Argyle town, Georgia",191,191,192
"Arlington city, Georgia",1251,1247,1225
"Arnoldsville city, Georgia",438,438,446
"Ashburn city, Georgia",4241,4224,4218
"Athens-Clarke County unified government (balance), Georgia",127320,127141,127358
"Atlanta city, Georgia",498602,499586,496461
"Attapulgus city, Georgia",449,449,445
"Auburn city, Georgia",7510,7567,8094
"Augusta-Richmond County consolidated government (balance), Georgia",202123,201850,201196
"Austell city, Georgia",7722,7728,7797
"Avalon town, Georgia",236,237,237
"Avera city, Georgia",221,220,218
"Avondale Estates city, Georgia",3562,3553,3496
"Baconton city, Georgia",838,835,828
"Bainbridge city, Georgia",14488,14474,14292
"Baldwin city, Georgia",3642,3653,3755
"Ball Ground city, Georgia",2485,2510,2687
"Barnesville city, Georgia",6337,6330,6389
"Bartow town, Georgia",186,186,184
"Barwick city, Georgia",361,361,360
"Baxley city, Georgia",5006,5000,5008
"Bellville city, Georgia",127,126,125
"Berkeley Lake city, Georgia",2058,2053,2051
"Berlin city, Georgia",508,507,508
"Bethlehem town, Georgia",710,712,732
"Between town, Georgia",400,403,427
"Bishop town, Georgia",334,334,342
"Blackshear city, Georgia",3504,3502,3537
"Blairsville city, Georgia",512,514,526
"Blakely city, Georgia",5392,5367,5252
"Bloomingdale city, Georgia",2776,2871,2860
"Blue Ridge city, Georgia",1223,1225,1244
"Bluffton town, Georgia",113,113,114
"Blythe city, Georgia",743,743,745
"Bogart town, Georgia",1326,1327,1366
"Boston city, Georgia",1206,1206,1209
"Bostwick city, Georgia",378,380,379
"Bowdon city, Georgia",2147,2146,2168
"Bowersville town, Georgia",443,445,448
"Bowman city, Georgia",869,868,860
"Braselton town, Georgia",13419,13607,14383
"Braswell town, Georgia",365,364,365
"Bremen city, Georgia",7242,7271,7474
"Brinson town, Georgia",217,216,214
"Bronwood town, Georgia",334,333,326
"Brookhaven city, Georgia",55143,55119,55366
"Brooklet city, Georgia",1716,1747,1876
"Brooks town, Georgia",569,569,570
"Broxton city, Georgia",1057,1056,1065
"Brunswick city, Georgia",14618,14608,14629
"Buchanan city, Georgia",929,930,937
"Buckhead town, Georgia",196,196,195
"Buena Vista city, Georgia",1523,1526,1502
"Buford city, Georgia",17078,17145,17683
"Butler city, Georgia",1822,1821,1809
"Byromville town, Georgia",421,418,409
"Byron city, Georgia",5709,5727,5839
"Cadwell town, Georgia",381,380,380
"Cairo city, Georgia",10181,10168,10015
"Calhoun city, Georgia",16977,17055,17318
"Camak town, Georgia",134,134,135
"Camilla city, Georgia",5114,5091,5046
"Canon city, Georgia",644,646,656
"Canton city, Georgia",32951,33382,34576
"Carl town, Georgia",206,206,215
"Carlton city, Georgia",258,259,259
"Carnesville city, Georgia",705,704,705
"Carrollton city, Georgia",27118,27146,27493
"Cartersville city, Georgia",23093,23151,23222
"Cave Spring city, Georgia",1190,1189,1192
"Cecil city, Georgia",290,291,289
"Cedartown city, Georgia",10147,10145,10270
"Centerville city, Georgia",8232,8256,8243
"Centralhatchee town, Georgia",346,348,355
"Chamblee city, Georgia",30133,30174,29781
"Chatsworth city, Georgia",4845,4833,4804
"Chattahoochee Hills city, Georgia",2950,2970,3084
"Chauncey city, Georgia",292,290,290
"Chester town, Georgia",523,522,520
"Chickamauga city, Georgia",2929,2924,3070
"Clarkesville city, Georgia",1905,1908,1937
"Clarkston city, Georgia",14745,14710,14538
"Claxton city, Georgia",2613,2611,2580
"Clayton city, Georgia",2004,2006,2035
"Clermont town, Georgia",1017,1033,1132
"Cleveland city, Georgia",3481,3485,3511
"Climax city, Georgia",270,270,266
"Cobbtown city, Georgia",327,327,326
"Cochran city, Georgia",5066,5063,5070
"Cohutta city, Georgia",768,768,783
"Colbert city, Georgia",633,636,648
"College Park city, Georgia",13921,13928,13889
"Collins city, Georgia",515,515,518
"Colquitt city, Georgia",1960,1956,1933
"Columbus city, Georgia",206922,206960,205617
"Comer city, Georgia",1548,1552,1581
"Commerce city, Georgia",7404,7461,7604
"Concord city, Georgia",380,379,390
"Conyers city, Georgia",17235,17309,17508
"Coolidge city, Georgia",529,528,531
"Cordele city, Georgia",10214,10160,10044
"Cornelia city, Georgia",4567,4584,4791
"Covington city, Georgia",14200,14235,14391
"Crawford city, Georgia",862,865,877
"Crawfordville city, Georgia",481,480,481
"Culloden city, Georgia",202,202,208
"Cumming city, Georgia",6966,6996,7235
"Cusseta-Chattahoochee County unified government, Georgia",9565,9482,9048
"Cuthbert city, Georgia",3162,3137,3091
"Dacula city, Georgia",6894,6919,7008
"Dahlonega city, Georgia",6606,6609,6654
"Daisy city, Georgia",159,159,157
"Dallas city, Georgia",13969,14055,14423
"Dalton city, Georgia",34348,34294,34285
"Damascus city, Georgia",211,210,206
"Danielsville city, Georgia",650,653,665
"Danville town, Georgia",169,169,166
"Darien city, Georgia",1466,1471,1517
"Dasher town, Georgia",884,884,894
"Davisboro city, Georgia",1868,1866,1860
"Dawson city, Georgia",4423,4407,4317
"Dawsonville city, Georgia",3694,3746,4172
"Dearing town, Georgia",528,527,527
"Decatur city, Georgia",24937,24883,24569
"Deepstep town, Georgia",116,115,113
"Demorest city, Georgia",1924,1927,1927
"Denton city, Georgia",188,187,188
"De Soto city, Georgia",122,122,120
"Dexter town, Georgia",654,653,654
"Dillard city, Georgia",331,331,335
"Doerun city, Georgia",733,731,722
"Donalsonville city, Georgia",2806,2810,2822
"Dooling town, Georgia",67,66,65
"Doraville city, Georgia",10616,10601,10889
"Douglas city, Georgia",11717,11692,11727
"Douglasville city, Georgia",34698,34807,35561
"Dublin city, Georgia",16164,16131,16121
"Dudley city, Georgia",590,589,590
"Duluth city, Georgia",31908,31892,31864
"Dunwoody city, Georgia",51629,51539,50901
"Du Pont town, Georgia",131,130,130
"East Dublin city, Georgia",2479,2476,2479
"East Ellijay city, Georgia",648,650,859
"Eastman city, Georgia",5660,5653,5595
"East Point city, Georgia",38384,38400,38141
"Eatonton city, Georgia",6282,6307,6436
"Echols County consolidated government, Georgia",3697,3696,3699
"Edge Hill city, Georgia",20,20,20
"Edison city, Georgia",1274,1271,1254
"Elberton city, Georgia",4645,4637,4678
"Ellaville city, Georgia",1591,1586,1553
"Ellenton town, Georgia",211,210,213
"Ellijay city, Georgia",1830,1833,1847
"Emerson city, Georgia",1440,1441,1446
"Enigma town, Georgia",1061,1062,1064
"Ephesus city, Georgia",473,475,478
"Eton city, Georgia",829,827,826
"Euharlee city, Georgia",4275,4285,4315
"Fairburn city, Georgia",16497,16570,16597
"Fairmount city, Georgia",772,773,774
"Fargo city, Georgia",255,254,254
"Fayetteville city, Georgia",18893,18955,19284
"Fitzgerald city, Georgia",9020,8994,8977
"Flemington city, Georgia",831,825,840
"Flovilla city, Georgia",640,644,651
"Flowery Branch city, Georgia",9378,9490,10144
"Folkston city, Georgia",4358,4360,4408
"Forest Park city, Georgia",20048,19993,19798
"Forsyth city, Georgia",4407,4418,4512
"Fort Gaines city, Georgia",991,986,999
"Fort Oglethorpe city, Georgia",10431,10437,10531
"Fort Valley city, Georgia",8772,8781,8863
"Franklin city, Georgia",918,920,923
"Franklin Springs city, Georgia",1122,1121,1123
"Funston city, Georgia",402,402,402
"Gainesville city, Georgia",42339,42538,43417
"Garden City city, Georgia",10266,10364,10306
"Garfield city, Georgia",254,254,254
"Gay town, Georgia",110,109,114
"Geneva town, Georgia",74,74,74
"Georgetown-Quitman County unified government, Georgia",2235,2224,2243
"Gibson city, Georgia",625,624,630
"Gillsville city, Georgia",301,300,303
"Girard town, Georgia",182,181,180
"Glennville city, Georgia",3687,3683,3707
"Glenwood city, Georgia",845,839,843
"Good Hope city, Georgia",339,342,350
"Gordon city, Georgia",1778,1771,1769
"Graham city, Georgia",265,264,264
"Grantville city, Georgia",3106,3114,3276
"Gray city, Georgia",3409,3408,3407
"Grayson city, Georgia",4706,4698,4679
"Greensboro city, Georgia",3655,3636,3649
"Greenville city, Georgia",795,793,796
"Griffin city, Georgia",23477,23426,23643
"Grovetown city, Georgia",15646,15992,16566
"Gumbranch city, Georgia",241,239,245
"Guyton city, Georgia",2279,2314,2557
"Hagan city, Georgia",963,959,949
"Hahira city, Georgia",3371,3370,3406
"Hamilton city, Georgia",1622,1634,1664
"Hampton city, Georgia",8356,8384,8346
"Hapeville city, Georgia",6565,6567,6538
"Haralson town, Georgia",170,170,171
