SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021
040,13,000,00000,00000,00000,0,A,Georgia,Georgia,10711908,10725800,10799566
162,13,000,00184,00000,00000,0,A,Abbeville city,Georgia,2666,2661,2662
162,13,000,00408,00000,00000,0,A,Acworth city,Georgia,22443,22399,22284
162,13,000,00436,00000,00000,0,A,Adairsville city,Georgia,4878,4896,4979
162,13,000,00576,00000,00000,0,A,Adel city,Georgia,5485,5492,5507
162,13,000,00660,00000,00000,0,A,Adrian city,Georgia,548,547,546
162,13,000,00828,00000,00000,0,A,Ailey city,Georgia,520,518,523
162,13,000,00996,00000,00000,0,A,Alamo town,Georgia,783,776,783
162,13,000,01024,00000,00000,0,A,Alapaha town,Georgia,481,481,480
162,13,000,01052,00000,00000,0,A,Albany city,Georgia,69832,69486,69048
162,13,000,01248,00000,00000,0,A,Aldora town,Georgia,0,0,0
162,13,000,01472,00000,00000,0,A,Allenhurst city,Georgia,824,818,831
162,13,000,01500,00000,00000,0,A,Allentown city,Georgia,193,193,191
162,13,000,01612,00000,00000,0,A,Alma city,Georgia,3433,3424,3397
162,13,000,01696,00000,00000,0,A,Alpharetta city,Georgia,65852,65968,66127
162,13,000,01808,00000,00000,0,A,Alston town,Georgia,175,174,175
162,13,000,01948,00000,00000,0,A,Alto town,Georgia,978,977,985
162,13,000,02060,00000,00000,0,A,Ambrose city,Georgia,325,325,329
162,13,000,02116,00000,00000,0,A,Americus city,Georgia,16214,16172,15989
162,13,000,02256,00000,00000,0,A,Andersonville city,Georgia,239,238,235
162,13,000,02564,00000,00000,0,A,Arabi town,Georgia,455,453,456
162,13,000,02592,00000,00000,0,A,Aragon city,Georgia,1443,1452,1470
162,13,000,02648,00000,00000,0,A,Arcade city,Georgia,1884,1898,1923
162,13,000,02844,00000,00000,0,A,Argyle town,Georgia,191,191,192
162,13,000,02928,00000,00000,0,A,Arlington city,Georgia,1251,1247,1225
162,13,000,03124,00000,00000,0,A,Arnoldsville city,Georgia,438,438,446
162,13,000,03236,00000,00000,0,A,Ashburn city,Georgia,4241,4224,4218
162,13,000,03440,00000,00000,0,F,Athens-Clarke County unified government (balance),Georgia,127320,127141,127358
162,13,000,04000,00000,00000,0,A,Atlanta city,Georgia,498602,499586,496461
162,13,000,04084,00000,00000,0,A,Attapulgus city,Georgia,449,449,445
162,13,000,04140,00000,00000,0,A,Auburn city,Georgia,7510,7567,8094
162,13,000,04204,00000,00000,0,F,Augusta-Richmond County consolidated government (balance),Georgia,202123,201850,201196
162,13,000,04252,00000,00000,0,A,Austell city,Georgia,7722,7728,7797
162,13,000,04392,00000,00000,0,A,Avalon town,Georgia,236,237,237
162,13,000,04448,00000,00000,0,A,Avera city,Georgia,221,220,218
162,13,000,04644,00000,00000,0,A,Avondale Estates city,Georgia,3562,3553,3496
162,13,000,04840,00000,00000,0,A,Baconton city,Georgia,838,835,828
162,13,000,04896,00000,00000,0,A,Bainbridge city,Georgia,14488,14474,14292
162,13,000,04980,00000,00000,0,A,Baldwin city,Georgia,3642,3653,3755
162,13,000,05036,00000,00000,0,A,Ball Ground city,Georgia,2485,2510,2687
162,13,000,05344,00000,00000,0,A,Barnesville city,Georgia,6337,6330,6389
