STATION,NAME,year,month,day,DAPR,DASF,MDPR,MDSF,PRCP,SN02,SN32,SNOW,SNWD,SX02,SX32,TMAX,TMIN,TOBS,WT01,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT14,WT16,WT18
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,01,01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,01,02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,01,03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,01,04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,01,05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,01,06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,01,07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,01,08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,01,09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,01,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
