incident_date,incident_time,FlightID,Aircraft,Altitude,Airport,Laser Color,Injury,City,State
01/01/21,48,ASH6151,E75L,2000,SAV,Green,No,Savannah,Georgia
01/01/21,56,SKW3321,E75L,17000,ZOA,Green,No,Fremont,California
01/01/21,102,ACO2204,C208,5000,DSM,Green,No,Des Moines,Iowa
01/01/21,125,AMF2521,E120,2000,ONT,Green,No,Ontario,California
01/01/21,140,N149MF,BE9L,4000,ZSE,Green,No,Auburn,Washington
01/01/21,215,NKS2412,A319,4000,F11,Green,No,Orlando,Florida
01/01/21,330,UPS945,B767,8000,NCT,Green,No,Mather,California
01/01/21,446,UAL591,B738,8000,SCT,Green,No,San Diego,California
01/01/21,528,FFT244,A320,3000,I90,Green,No,Houston,Texas
01/01/21,729,UAL1947,B739,19000,ZOA,Green,No,Fremont,California
01/01/21,859,LN911PB,B407,700,PBI,Green,No,West Palm Beach,Florida
01/01/21,2209,ASA15,B739,12000,ZBW,Green,No,Nashua,New Hampshire
01/02/21,30,EJA542,C68A,2000,MIA,Green,No,Miami,Florida
01/02/21,33,RPA3405,E170,3500,BNA,Blue,No,Nashville,Tennessee
01/02/21,35,AR2,HELO,400,MIA,Green,No,Miami,Florida
01/02/21,36,NKS1174,A320,3000,BNA,Blue,No,Nashville,Tennessee
01/02/21,140,SWA2917,B737,4000,F11,Green,No,Orlando,Florida
01/02/21,200,N4P,C182,1200,SMX,Green,No,Santa Maria,California
01/02/21,542,SKW3214,CRJ7,6000,SBA,Green,No,Santa Barbara,California
01/02/21,545,SWA1377,B737,15000,NCT,Green,No,Mather,California
01/02/21,548,NKS868,A320,35000,ZLA,Green,No,Palmsdale,California
01/02/21,550,SWA4809,B737,3000,SCT,Green,No,San Diego,California
01/02/21,1245,KMK236,C208,1000,HCF,Green,No,Honolulu,Hawaii
01/02/21,2354,N1047M,P28A,4500,A80,Green,No,Peachtree City,Georgia
01/03/21,43,SKW5534,E75L,29000,ZDC,Green,No,Leesburg,Virginia
01/03/21,43,AAL2428,A320,37000,ZDC,Green,No,Leesburg,Virginia
01/03/21,43,FSR919,GL7T,45000,ZDC,Green,No,Leesburg,Virginia
01/03/21,45,TROOPER8,B407,1300,MGE,Green,No,Marietta ,Georgia
01/03/21,59,DAL1612,B739,2500,MCO,Green,No,Orlando,Florida
01/03/21,148,ASA499,B738,4000,SCT,Green,No,San Diego,California
01/03/21,215,SKW3360,E75L,4000,SCT,White,No,San Diego,California
01/03/21,219,IDAHO14,C208,10500,ELP,Unk,No,El Paso,Texas
01/03/21,259,SKW5534,E75L,29000,ZDC,Green,No,Leesburg,Virginia
01/03/21,303,G72094,UH72,3500,SDM,Green,No,San Diego,California
01/03/21,313,N5415D,C172,4500,ZLC,Green,No,Salt Lake City,Utah
01/03/21,316,UCA4853,E45X,7000,I90,Green,No,Houston,Texas
01/03/21,434,N111WW,FA50,5000,SCT,Green,No,San Diego,California
01/03/21,437,SWA1676,B738,2000,RSW,Green,No,Fort Myers,Florida
01/03/21,535,RESCUE1,B06,2500,I90,Green,No,Houston,Texas
01/03/21,612,UAL1205,B739,14000,ZLA,Green,No,Palmsdale,California
01/03/21,615,UAL706,B753,12000,ZLA,Green,No,Palmsdale,California
01/03/21,933,FDX900,B752,15000,ZMP,Blue,No,Dodge Center,Minnesota
01/03/21,1244,N646LF,A119,Unk,ZSE,Unk,No,Auburn,Washington
01/03/21,1410,AAH15,B733,3000,HCF,Blue,No,Honolulu,Hawaii
01/03/21,2230,SKW5491,E75L,2700,CVG,Green,No,Covington,Kentucky
01/03/21,2338,EDV4840,CRJ9,7000,CAE,Green,No,Columbia,South Carolina
01/04/21,25,LN655JH,LJ35,5000,D10,Green,No,Dallas-Fort Worth,Texas
01/04/21,40,JIA5549,CRJ9,30000,ZJX,Green,No,Hillard,Florida
01/04/21,43,DAL1862,B739,5500,M98,Green,No,Minneapolis,Minnesota
01/04/21,49,N2424L,C172,2500,GYR,Green,No,Goodyear,Arizona
01/04/21,55,N904P,BE9L,5500,TPA,Green,No,Tampa,Florida
01/04/21,101,DAL1728,A321,23000,ZJX,Green,No,Hillard,Florida
01/04/21,105,SWA3187,B737,22000,ZFW,Green,No,Fort Worth,Texas
01/04/21,115,SWA2367,B737,12000,ZFW,Green,No,Fort Worth,Texas
01/04/21,124,FDX359,B752,1200,MCO,Green,No,Orlando,Florida
01/04/21,130,SKY96Q,C172,1500,RBD,Green,No,Dallas,Texas
01/04/21,131,PDT6111,E145,18000,ZHU,Green,No,Houston,Texas
01/04/21,144,N179WC,C25B,10700,D01,Blue,No,Denver,Colorado
01/04/21,145,JIA5035,CRJ9,Unk,CLT,Green,No,Charlotte,North Carolina
01/04/21,209,PDT6223,E145,9000,ROA,Green,No,Roanoke,Virginia
01/04/21,308,UAL490,A320,15000,ZHU,Green,No,Houston,Texas
01/04/21,310,JTL827,C56X,6000,NCT,Green,No,Mather,California
01/04/21,738,ASH6049,E75L,4000,P31,Blue,No,Pensacola,Florida
01/04/21,742,N680GM,CL35,15000,NCT,Green,No,Mather,California
01/04/21,746,JSX8137,E135,1000,SJC,Green,No,San Jose,California
01/04/21,750,AAL2688,A321,1500,MIA,Green,No,Miami,Florida
01/04/21,754,FFT2939,A20N,1000,MIA,Green,No,Miami,Florida
01/04/21,756,AAL200,B738,11000,P50,Green,No,Phoenix,Arizona
01/04/21,759,AAL2905,B738,8000,S46,Green,No,Burien,Washington
01/04/21,802,DAL1422,A321,1500,MIA,Green,No,Miami,Florida
01/04/21,804,CKS538,B744,600,MIA,Green,No,Miami,Florida
01/04/21,806,LTG8484,B767,500,MIA,Green,No,Miami,Florida
01/04/21,809,GTI8089,B744,1000,MIA,Green,No,Miami,Florida
01/04/21,812,QXE2519,DH8D,3000,PDX,Blue,No,Portland,Oregon
01/04/21,815,KFS150,LJ35,1000,MIA,Green,No,Miami,Florida
01/04/21,817,LCO1106,B763,1000,MIA,Green,No,Miami,Florida
