incident_date,Incident Time,FlightID,Aircraft,Altitude,Airport,Laser Color,Injury,City,State
01/01/22,105,AAL2305,A321,28000,ZMP,Blue,No,Dodge Center,Minnesota
01/01/22,109,EJA145,GLEX,2000,PBI,Green,No,West Palm Beach,Florida
01/01/22,118,DAL1013,A320,1000,LAX,Green,No,Los Angeles,California
01/01/22,120,CFS7686,C208,700,PDX,Green And Red,No,Portland,Oregon
01/01/22,125,N500MH,SR20,2000,TOA,Green,No,Torrance,California
01/01/22,130,N3386E,C172,800,MYF,Green,No,San Diego,California
01/01/22,218,JCM458,BE40,1200,BNA,Green,No,Nashville,Tennessee
01/01/22,225,SWA1499,B737,2500,SAN,Green,No,San Diego,California
01/01/22,320,HAL40,A21N,30000,ZSE,Green,No,Auburn,Washington
01/01/22,330,NKS817,A320,2000,MSY,Green,No,New Orleans,Louisiana
01/01/22,348,RPA4618,E75L,3500,GSO,Green,No,Greensboro,North Carolina
01/01/22,355,SKW3603,CRJ9,5800,M98,Blue,No,Minneapolis,Minnesota
01/01/22,357,ASA534,B738,5000,NCT,Green,No,Mather,California
01/01/22,415,SWA685,B737,4000,NCT,Green,No,Mather,California
01/01/22,450,SKW3669,E75L,12000,ZLC,Green,No,Salt Lake City,Utah
01/01/22,503,UAL410,B737,2000,SNA,Green,No,Santa Ana,California
01/01/22,511,ALL162,A21N,2300,LAX,Green,No,Los Angeles,California
01/01/22,518,RDK4,EC45,2500,I90,Blue And Green,No,Houston,Texas
01/01/22,520,FDY618,C208,3500,HCF,Green,No,Honolulu,Hawaii
01/01/22,527,UAL1231,B777,12000,ZLA,Green,No,Palmsdale,California
01/01/22,528,SWA3019,B737,2200,SNA,Green,No,Santa Ana,California
01/01/22,619,AIR3,HELO,300,HCF,Green,No,Honolulu,Hawaii
01/02/22,45,JIA5048,CRJ9,3500,GSP,Green,No,Greer,South Carolina
01/02/22,200,N4665F,P28A,7500,NCT,Green,No,Mather,California
01/02/22,300,WDY600,GA6C,33000,ZMA,Red,No,Melbourne,Florida
01/02/22,336,SKW5928,CRJ2,1500,SFO,Green,No,San Francisco,California
01/02/22,358,N603HH,R22,3000,P80,Green,No,Portland,Oregon
01/02/22,433,DAL1278,B712,5000,GSP,Green,No,Greer,South Carolina
01/02/22,456,SWA324,B737,1100,LGB,Green,No,Long Beach,California
01/02/22,520,SWA1462,B738,5000,LIH,Blue And Purple,No,Lihue,Hawaii
01/02/22,550,HAL529,B712,2500,LIH,Green,No,Lihue,Hawaii
01/02/22,556,UAL1227,B738,5000,LIH,Green,No,Lihue,Hawaii
01/02/22,612,N757QS,CL35,17000,HCF,Green,No,Honolulu,Hawaii
01/02/22,705,SKW4767,E75L,8000,NCT,Green,No,Mather,California
01/02/22,735,SKW5473,CRJ2,24000,ZOA,Green,No,Fremont,California
01/02/22,925,KFS164,LJ35,6000,SCT,Green,No,San Diego,California
01/02/22,1059,N1544V,BE9L,5800,SAT,Green,No,San Antonio,Texas
01/02/22,1230,SWA1462,B738,Unk,HCF,Unk,No,Honolulu,Hawaii
01/02/22,1340,FDX431,DC10,17500,ZLA,Green,No,Palmsdale,California
01/03/22,6,SKYT769,C172,1400,DAL,Green,No,Dallas ,Texas
01/03/22,39,RPA5727,E170,1700,LGA,Blue,No,New York,New York
01/03/22,153,AAL1207,A321,9000,D10,Green,No,Dallas-Fort Worth,Texas
01/03/22,206,SKYT525,C172,1500,DAL,Green,No,Dallas ,Texas
01/03/22,220,SKW4258,CRJ2,28000,ZMP,Blue,No,Dodge Center,Minnesota
01/03/22,227,SKW3524,CRJ9,9000,M98,Green,No,Minneapolis,Minnesota
01/03/22,245,N154BF,CRUZ,8500,S56,Green,No,Salt Lake City,Utah
01/03/22,408,SKW3213,CRJ7,20000,ZLA,Green,No,Palmsdale,California
01/03/22,412,AAL2804,A319,11000,ZFW,Blue,No,Fort Worth,Texas
01/03/22,510,SWA1462,B738,3000,HCF,Green,No,Honolulu,Hawaii
01/03/22,610,NAC8201,B763,200,HCF,Green,No,Honolulu,Hawaii
01/03/22,830,HAL568,B712,2000,HCF,Green,No,Honolulu,Hawaii
01/03/22,2302,N502RK,C150,1600,LOU,Green,No,Louisville,Kentucky
01/03/22,2323,RPA5695,E75S,14000,ZBW,Green,No,Nashua,New Hampshire
01/03/22,2343,EJM82,F2TH,7500,Y90,Green,No,Fort Wayne,Indiana
01/04/22,40,NKS141,A20N,3400,ZID,Green,No,Indianapolis,Indiana
01/04/22,50,SWA1327,B738,39000,ZFW,Blue,No,Fort Worth,Texas
01/04/22,105,SWA1721,B737,Unk,PCT,Unk,No,Warrenton,Virginia
01/04/22,206,N661LF,PC12,6000,PSC,Green,No,Pasco,Washington
01/04/22,212,ENY4247,E170,31000,ZFW,Blue,No,Fort Worth,Texas
01/04/22,224,N3184T,R44,500,GYR,Green,No,Goodyear,Arizona
01/04/22,225,UAL1287,B737,3000,ZSU,Green,No,San Juan,Puerto Rico
01/04/22,229,ENY3885,E170,2500,ICT,Green,No,Wichita,Kansas
01/04/22,240,SKW3262,CRJ7,7500,BFL,Green,No,Bakersfield,California
01/04/22,315,EDV4671,CRJ9,26000,ZME,Green,No,Memphis,Tennessee
01/04/22,410,UAL2088,B739,23000,ZAU,Blue,No,Aurora,Illinois
01/04/22,410,DAL793,A321,19000,S56,Green,No,Salt Lake City,Utah
01/04/22,411,DAL315,B739,19000,S56,Green,No,Salt Lake City,Utah
01/04/22,412,SKW3482,E75L,1500,PDX,Blue,No,Portland,Oregon
01/04/22,415,CJT916,B763,11000,CVG,Green,No,Covington,Kentucky
01/04/22,430,AAL1207,A321,7000,U90,Green,No,Tucson,Arizona
01/04/22,535,JUS196,DC91,2000,BRO,Green,No,Brownsville,Texas
01/04/22,835,LBQ611,PC12,21000,ZFW,Green,No,Fort Worth,Texas
01/04/22,845,JBU005B,A320,1000,PDX,Green,No,Portland,Oregon
01/04/22,927,ASA121,B739,8000,A11,Green,No,Anchorage,Alaska
01/04/22,1035,AAL479,B737,21000,ZBW,Green,No,Nashua,New Hampshire
01/04/22,1107,LBQ651,PC12,24000,ZKC,Green,No,Olathe,Kansas
01/04/22,1112,FDX1466,B763,20000,ZME,Blue,No,Memphis,Tennessee
01/04/22,2230,SKIER94,C130,3000,SYR,Green,No,Syracuse,New York
01/04/22,2300,N449BA,R44,4000,YNG,Green,No,Youngstown/Warren,Ohio
