city,year_2019,year_2020,year_2021,year_2022,,,,,,
Atlanta,61,45,11,4,,,,,,
Savannah,12,14,9,4,,,,,,
Albany,1,11,0,0,,,,,,
Alma,1,9,0,0,,,,,,
Athens,6,6,0,0,,,,,,
Rome,0,6,0,0,,,,,,
Augusta,4,4,8,6,,,,,,
Dublin,0,3,0,0,,,,,,
Macon,3,3,0,0,,,,,,
Columbus,0,2,0,0,,,,,,
LaGrange,1,3,0,0,,,,,,
Valdosta,0,2,2,0,,,,,,
Bainbridge,1,0,0,0,,,,,,
Baxley,1,1,0,0,,,,,,
Brunswick,0,1,0,0,,,,,,
Canton,0,1,0,0,,,,,,
Cartersville,0,1,0,0,,,,,,
Gainesville,1,1,0,0,,,,,,
Hampton,0,0,219,74,,,,,,
Homerville,0,1,0,0,,,,,,
Lawrenceville,0,1,1,0,,,,,,
Marietta,0,0,1,0,,,,,,
Paducah,0,1,0,0,,,,,,
Peachtree City,0,0,48,42,,,,,,
Reidsville,0,1,0,0,,,,,,
St. Simons Island,0,1,0,0,,,,,,
Statesboro,1,0,0,0,,,,,,
Swainsboro,0,1,0,0,,,,,,
Thompson,1,0,0,0,,,,,,
Thomasville,0,1,0,0,,,,,,
Vidalia,0,1,0,0,,,,,,
Warm Springs,0,1,0,0,,,,,,
Waycross,0,1,0,0,,,,,,
Total,94,123,299,130,,,,,,
,,,,,,,,,,
