State,count_2020,count_2021
California,1139,1557
Texas,765,1030
Florida,504,630
Arizona,313,334
Colorado,280,261
Indiana,217,440
Tennessee,197,506
Washington,196,397
Nevada,182,165
Kentucky,181,169
Oregon,179,212
Pennsylvania,172,163
Illinois,162,428
Ohio,161,225
Utah,142,274
New York,128,245
Georgia,123,299
Minnesota,122,256
North Carolina,115,198
Puerto Rico,107,107
Missouri,104,129
Alabama,99,68
New Mexico,98,191
Hawaii,97,147
Virginia,85,225
Arkansas,83,68
Michigan,76,83
Oklahoma,73,83
South Carolina,71,115
Louisiana,64,59
New Jersey,58,41
Idaho,49,64
Wisconsin,48,33
Kansas,42,104
Maryland,41,8
Iowa,40,24
District of Columbia,38,73
Mississippi,35,26
Massachusetts,34,10
Nebraska,32,21
Maine,27,18
Montana,27,33
West Virginia,24,19
North Dakota,22,19
Alaska,20,9
Connecticut,20,7
Rhode Island,12,13
Wyoming,12,1
Delaware,10,2
New Hampshire,9,107
South Dakota,6,14
Guam,5,7
Vermont,3,3
Florida,1,NA
New Hampshire,1,NA
Virgin Islands,1,2
