week_ending,pct_with_shortage
5/24/20,28.5
5/31/20,28.5
6/7/20,27.7
6/14/20,27.9
6/21/20,27.4
6/28/20,29.1
7/5/20,28.3
7/12/20,27.2
7/19/20,26.6
7/26/20,29.1
8/2/20,28.6
8/9/20,31.1
8/16/20,30.5
8/23/20,30.8
8/30/20,33.1
9/6/20,33.6
9/13/20,32.2
9/20/20,33.9
9/27/20,32.5
10/4/20,33.1
10/11/20,31.7
10/18/20,33.3
10/25/20,31.1
11/1/20,30.0
11/8/20,31.9
11/15/20,33.1
11/22/20,30.5
11/29/20,31.7
12/6/20,29.7
12/13/20,30.5
12/20/20,32.5
12/27/20,32.2
1/3/21,32.2
1/10/21,32.7
1/17/21,34.9
1/24/21,31.8
1/31/21,31.0
2/7/21,31.3
2/14/21,30.2
2/21/21,30.7
2/28/21,29.0
3/7/21,28.7
3/14/21,27.6
3/21/21,29.0
3/28/21,29.2
4/4/21,30.4
4/11/21,31.2
4/18/21,30.1
4/25/21,29.2
5/2/21,29.0
5/9/21,30.4
5/16/21,30.4
5/23/21,29.7
5/30/21,30.3
6/6/21,29.7
6/13/21,30.3
6/20/21,31.2
6/27/21,32.3
7/4/21,31.8
7/11/21,32.0
7/18/21,32.9
7/25/21,31.8
8/1/21,31.2
8/8/21,32.6
8/15/21,32.6
8/22/21,32.3
8/29/21,34.0
9/5/21,34.0
9/12/21,34.5
9/19/21,34.7
9/26/21,34.4
10/3/21,35.8
10/10/21,34.7
10/17/21,34.4
10/24/21,35.0
10/31/21,35.3
11/7/21,33.3
11/14/21,33.6
11/21/21,32.8
11/28/21,33.1
12/5/21,33.9
12/12/21,32.5
12/19/21,35.3
12/26/21,35.8
1/2/22,39.2
1/9/22,41.9
1/16/22,41.9
1/23/22,42.8
1/30/22,41.9
2/6/22,40.8
2/13/22,40.3
2/20/22,40.3
2/27/22,38.3
3/6/22,39.2
3/13/22,39.4
3/20/22,37.2
3/27/22,36.4
4/3/22,35.6
4/10/22,33.1
4/17/22,35.3
4/24/22,33.1
5/1/22,34.4
5/8/22,33.3
5/15/22,35.3
5/22/22,34.7
5/29/22,29.7
