"Week Ending","Provider State","Shortage of Nursing Staff"
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,Y
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,N
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,N
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,Y
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,N
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,Y
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,N
2022-06-12,GA,Y
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,Y
2022-06-12,GA,Y
2022-06-12,GA,Y
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,Y
2022-06-12,GA,Y
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,Y
2022-06-12,GA,Y
2022-06-12,GA,Y
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,N
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-12,GA,""
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,Y
2022-06-05,GA,Y
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,N
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,N
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,Y
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,N
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,N
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,Y
2022-06-05,GA,Y
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,Y
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,Y
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,N
2022-06-05,GA,N
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,Y
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,Y
2022-06-05,GA,Y
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,Y
2022-06-05,GA,Y
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-06-05,GA,""
2022-05-29,GA,N
2022-05-29,GA,Y
2022-05-29,GA,N
2022-05-29,GA,N
2022-05-29,GA,N
2022-05-29,GA,N
2022-05-29,GA,N
2022-05-29,GA,Y
2022-05-29,GA,N
2022-05-29,GA,N
2022-05-29,GA,Y
2022-05-29,GA,Y
2022-05-29,GA,Y
2022-05-29,GA,Y
2022-05-29,GA,N
2022-05-29,GA,Y
2022-05-29,GA,N
2022-05-29,GA,N
2022-05-29,GA,""
2022-05-29,GA,Y
2022-05-29,GA,N
2022-05-29,GA,N
2022-05-29,GA,N
2022-05-29,GA,N
2022-05-29,GA,N
2022-05-29,GA,Y
2022-05-29,GA,""
2022-05-29,GA,N
2022-05-29,GA,N
2022-05-29,GA,Y
