week_ending,sum(residents_weekly_confirmed_covid_19)
2020-05-24,2636
2020-05-31,236
2020-06-07,379
2020-06-14,239
2020-06-21,252
2020-06-28,212
2020-07-05,366
2020-07-12,478
2020-07-19,509
2020-07-26,580
2020-08-02,541
2020-08-09,753
2020-08-16,598
2020-08-23,478
2020-08-30,398
2020-09-06,387
2020-09-13,337
2020-09-20,280
2020-09-27,120
2020-10-04,139
2020-10-11,122
2020-10-18,236
2020-10-25,228
2020-11-01,266
2020-11-08,304
2020-11-15,350
2020-11-22,240
2020-11-29,244
2020-12-06,363
2020-12-13,420
2020-12-20,613
2020-12-27,720
2021-01-03,730
2021-01-10,868
2021-01-17,786
2021-01-24,679
2021-01-31,432
2021-02-07,303
2021-02-14,161
2021-02-21,75
2021-02-28,46
2021-03-07,46
2021-03-14,29
2021-03-21,9
2021-03-28,13
2021-04-04,12
2021-04-11,13
2021-04-18,11
2021-04-25,11
2021-05-02,12
2021-05-09,8
2021-05-16,7
2021-05-23,12
2021-05-30,6
2021-06-06,5
2021-06-13,3
2021-06-20,1
2021-06-27,3
2021-07-04,6
2021-07-11,10
2021-07-18,7
2021-07-25,23
2021-08-01,43
2021-08-08,116
2021-08-15,113
2021-08-22,137
2021-08-29,147
2021-09-05,179
2021-09-12,151
2021-09-19,114
2021-09-26,103
2021-10-03,72
2021-10-10,56
2021-10-17,52
2021-10-24,39
2021-10-31,17
2021-11-07,17
2021-11-14,35
2021-11-21,13
2021-11-28,40
2021-12-05,27
2021-12-12,52
2021-12-19,33
2021-12-26,150
2022-01-02,708
2022-01-09,1139
2022-01-16,1077
2022-01-23,1338
2022-01-30,901
2022-02-06,605
2022-02-13,365
2022-02-20,180
2022-02-27,127
2022-03-06,60
2022-03-13,41
2022-03-20,8
2022-03-27,11
2022-04-03,26
2022-04-10,13
2022-04-17,34
2022-04-24,19
2022-05-01,21
2022-05-08,30
2022-05-15,75
2022-05-22,64
2022-05-29,70
2022-06-05,130
2022-06-12,208
2022-06-19,191
2022-06-26,198
2022-07-03,210
2022-07-10,268
