week_ending,sum(residents_weekly_confirmed_covid_19)
2020-05-24,90784
2020-05-31,11095
2020-06-07,9342
2020-06-14,6903
2020-06-21,6215
2020-06-28,6865
2020-07-05,7351
2020-07-12,9171
2020-07-19,10668
2020-07-26,12063
2020-08-02,11265
2020-08-09,10963
2020-08-16,9579
2020-08-23,8667
2020-08-30,8207
2020-09-06,7623
2020-09-13,6896
2020-09-20,7167
2020-09-27,7259
2020-10-04,7596
2020-10-11,8184
2020-10-18,10598
2020-10-25,12146
2020-11-01,14496
2020-11-08,18086
2020-11-15,23553
2020-11-22,25153
2020-11-29,27984
2020-12-06,32288
2020-12-13,33490
2020-12-20,33530
2020-12-27,28749
2021-01-03,27314
2021-01-10,26216
2021-01-17,21159
2021-01-24,16943
2021-01-31,11389
2021-02-07,6448
2021-02-14,4015
2021-02-21,2273
2021-02-28,1713
2021-03-07,1412
2021-03-14,1168
2021-03-21,1005
2021-03-28,949
2021-04-04,904
2021-04-11,990
2021-04-18,1131
2021-04-25,1071
2021-05-02,1183
2021-05-09,1044
2021-05-16,800
2021-05-23,758
2021-05-30,717
2021-06-06,478
2021-06-13,413
2021-06-20,341
2021-06-27,344
2021-07-04,481
2021-07-11,512
2021-07-18,826
2021-07-25,1500
2021-08-01,2321
2021-08-08,3273
2021-08-15,4084
2021-08-22,4750
2021-08-29,5312
2021-09-05,5267
2021-09-12,5344
2021-09-19,5256
2021-09-26,4637
2021-10-03,4110
2021-10-10,3946
2021-10-17,3649
2021-10-24,3140
2021-10-31,3073
2021-11-07,3339
2021-11-14,3890
2021-11-21,4267
2021-11-28,4431
2021-12-05,4706
2021-12-12,4650
2021-12-19,4331
2021-12-26,6449
2022-01-02,18269
2022-01-09,37980
2022-01-16,48502
2022-01-23,49057
2022-01-30,38015
2022-02-06,25211
2022-02-13,16353
2022-02-20,10056
2022-02-27,6071
2022-03-06,3737
2022-03-13,2594
2022-03-20,1848
2022-03-27,1275
2022-04-03,1197
2022-04-10,1629
2022-04-17,2408
2022-04-24,3164
2022-05-01,4657
2022-05-08,6117
2022-05-15,7213
2022-05-22,9055
2022-05-29,8533
2022-06-05,8782
2022-06-12,8434
2022-06-19,8550
2022-06-26,9058
2022-07-03,11032
2022-07-10,9808
