week_ending,sum(staff_weekly_confirmed_covid_19)
2020-05-24,49642
2020-05-31,9747
2020-06-07,8053
2020-06-14,6020
2020-06-21,6035
2020-06-28,6957
2020-07-05,8146
2020-07-12,10502
2020-07-19,11822
2020-07-26,12024
2020-08-02,10317
2020-08-09,9215
2020-08-16,8630
2020-08-23,7596
2020-08-30,6942
2020-09-06,7158
2020-09-13,7060
2020-09-20,7585
2020-09-27,7462
2020-10-04,7580
2020-10-11,7995
2020-10-18,9991
2020-10-25,11202
2020-11-01,13490
2020-11-08,17430
2020-11-15,23032
2020-11-22,23964
2020-11-29,24264
2020-12-06,28305
2020-12-13,28816
2020-12-20,27994
2020-12-27,25173
2021-01-03,24742
2021-01-10,23802
2021-01-17,19123
2021-01-24,14481
2021-01-31,9759
2021-02-07,6212
2021-02-14,4544
2021-02-21,2982
2021-02-28,2618
2021-03-07,2164
2021-03-14,1895
2021-03-21,1971
2021-03-28,2218
2021-04-04,2496
2021-04-11,2664
2021-04-18,2725
2021-04-25,2597
2021-05-02,2457
2021-05-09,2083
2021-05-16,1651
2021-05-23,1378
2021-05-30,1080
2021-06-06,794
2021-06-13,689
2021-06-20,499
2021-06-27,637
2021-07-04,761
2021-07-11,919
2021-07-18,1660
2021-07-25,2515
2021-08-01,3834
2021-08-08,5629
2021-08-15,6670
2021-08-22,7192
2021-08-29,7544
2021-09-05,7537
2021-09-12,7021
2021-09-19,6670
2021-09-26,5559
2021-10-03,5085
2021-10-10,4625
2021-10-17,4011
2021-10-24,3582
2021-10-31,3468
2021-11-07,3602
2021-11-14,4236
2021-11-21,4937
2021-11-28,4616
2021-12-05,5689
2021-12-12,5408
2021-12-19,6008
2021-12-26,13562
2022-01-02,43063
2022-01-09,68885
2022-01-16,69572
2022-01-23,61283
2022-01-30,43124
2022-02-06,25521
2022-02-13,14851
2022-02-20,8777
2022-02-27,5277
2022-03-06,3249
2022-03-13,2051
2022-03-20,1659
2022-03-27,1313
2022-04-03,1354
2022-04-10,1773
2022-04-17,2507
2022-04-24,3633
2022-05-01,4935
2022-05-08,6563
2022-05-15,8604
2022-05-22,10143
2022-05-29,10234
2022-06-05,11140
2022-06-12,10616
2022-06-19,10518
2022-06-26,11362
2022-07-03,13170
2022-07-10,12016
