City,State,Type of LEA,Agency,Vendor
Detroit,MI,Police,Detroit Police Department,DataWorks Plus
Los Angeles,CA,Sheriff,Los Angeles County Sheriff's Department,DataWorks Plus
Auburn,CA,Sheriff,Placer County Sheriff's Office,DataWorks Plus
Riverside,CA,Sheriff,Riverside County Sheriff's Department,NA
San Bernardino,CA,Sheriff,San Bernardino County Sheriff's Department,NA
Miami,FL,Police,Miami-Dade Police Department,DataWorks Plus
North Chesterfield,VA,Police,Virginia State Police,DataWorks Plus
Marietta,GA,Police,Cobb County Police Department,NA
Raleigh,NC,Police,Raleigh Police Department,DataWorks Plus
Redwood,CA,Sheriff,San Mateo County Sheriff's Office,Clearview AI
DeLand,FL,Sheriff,Volusia County Sheriff's Office,Clearview AI
Gainesville,FL,Police,Gainesville Police Department,Clearview AI
Antioch,CA,Police,Antioch Police Department,Clearview AI
Green Bay,WI,Police,Green Bay Police Department,Clearview AI
Davie,FL,Police,Davie Police Department,Clearview AI
Miami,FL,Police,Miami Police Department,Clearview AI
Atlanta,GA,Police,Atlanta Police Department,Clearview AI
Wyomissing,PA,Police,Wyomissing Police Department,Clearview AI
Chicago,IL,Police,Chicago Police Department,DataWorks Plus
Senoia,GA,Police,Senoia Police Department,Clearview AI
Indianapolis,IN,Police,Indiana State Police,Clearview AI
Albany,NY,Police,New York State Police,Clearview AI
Austin,TX,State Police,Texas Department of Public Safety,Clearview AI
Durham,NC,Police,Durham Police Department,DataWorks Plus
Honolulu,HI,Police,Honolulu Police Department,Idemia
Hilo,HI,Police,Hawaii County Police Department,Idemia
Līhu‘e,HI,Police,Kauai County Police Department,Idemia
Wailuku,HI,Police,Maui County Police Department,Idemia
Albuquerque,NM,Police,Albuquerque Police Department,Idemia
Harrisburg,PA,State Police,Pennsylvania Justice Network,Idemia
Tacoma,WA,Police,Pierce County Police Department,Idemia
London,OH,State Police,Ohio Bureau of Criminal Investigation,NEC
Lakewood,CO,State Police,Colorado Bureau of Investigation,Idemia
Dover,DE,Police,Delaware State Police,Idemia
Coral Springs,FL,Police,Coral Springs Police Department,Clearview AI
Fort Lauderdale,FL,Sheriff,Broward County Sheriff's Office,Clearview AI
Irving,TX,Police,Irving Police Department,NEC
