"AOSNUMBER","City","County","State","Agency","Type of LEA","Summary","Type of Juris","Technology","Vendor","Link 1","Link 1 Snapshot","Link 1 Source","Link 1 Type","Link 1 Date","Link 2","Link 2 Snapshot","Link 2 Source","Link 2 Type","Link 2 Date","Link 3","Link 3 Snapshot","Link 3 Source","Link 3 Type","Link 3 Date","Other Links"
"AOS0123","Detroit","Wayne County","MI","Detroit Police Department","Police","The Detroit Police Department signed a contract with DataWorks Plus for real-time face recognition in 2017. The contract was renewed in September 2020. ","Municipal","Face Recognition","DataWorks Plus","https://www.metrotimes.com/news-hits/archives/2020/07/31/even-if-detroits-facial-recognition-contract-expires-dpd-can-still-use-the-software-in-perpetuity","","Detroit Metro Times","","7/31/2020","https://www.muckrock.com/foi/detroit-314/facial-recognition-detroit-mi-76785/#file-808358","","MuckRock","","08/08/2019","https://www.detroitnews.com/story/news/local/detroit-city/2020/09/29/detroit-council-vote-facial-recognition/3563440001/","","Detroit News","","9/29/20",""
"AOS0128","Los Angeles","Los Angeles County","CA","Los Angeles County Sheriff's Department","Sheriff","As of 2018, the Los Angeles County Sheriff's Department uses NEC face recognition technology. Previously, the agency had used DataWorks' face recognition system. ","County","Face Recognition","DataWorks Plus","https://www.activistpost.com/2018/03/los-angeles-facial-recognition-program.html","","ActivistPost","","03/21/2018","https://www.necam.com/newsroom/pressannouncements/2018announcements/LosAngelesCountySheriffDepartment/","","NEC","","3/15/2018","https://www.revealnews.org/article/los-angeles-sheriff-invests-in-new-tech-to-expand-biometric-database/","","Reveal News","","07/03/2015",""
"AOS0149","Auburn","Placer County","CA","Placer County Sheriff's Office","Sheriff","The Placer County Sheriff's Office has been using DataWorks face recognition technology since at least 2011.  ","County","Face Recognition","DataWorks Plus","https://www.placer.ca.gov/DocumentCenter/View/18570/09F-PDF","","County of Placer","","2/6/2018","County of Placer","","","","7/12/2011","","","","","",""
"AOS0163","Riverside","Riverside County","CA","Riverside County Sheriff's Department","Sheriff","The Riverside and San Bernardino County Sheriff's Departments began sharing a face recognition database in 2012","County","Face Recognition","","https://onezero.medium.com/california-police-are-sharing-facial-recognition-databases-to-id-suspects-3317726d31ad","","OneZero","","8/1/2019","http://www.dataworksplus.com/newsarchives.html","","Dataworks Plus","","2012","https://yro.slashdot.org/story/19/08/01/1421232/california-police-are-sharing-facial-recognition-databases-to-id-suspects","","Slashdot","","8/1/2019",""
"AOS0164","San Bernardino","San Bernardino County","CA","San Bernardino County Sheriff's Department","Sheriff","The Riverside and San Bernardino County Sheriff's Departments began sharing a face recognition database in 2012","County","Face Recognition","","https://onezero.medium.com/california-police-are-sharing-facial-recognition-databases-to-id-suspects-3317726d31ad","","OneZero","","8/1/2019","http://www.dataworksplus.com/newsarchives.html","","Dataworks Plus","","2012","https://yro.slashdot.org/story/19/08/01/1421232/california-police-are-sharing-facial-recognition-databases-to-id-suspects","","Slashdot","","8/1/2019",""
"AOS0165","Miami","Miami-Dade County","FL","Miami-Dade Police Department","Police","In 2017, Miami-Dade County signed a contract with Dataworks to renew face recognition services for three years. The Miami-Dade Police Department, Miami Dade Corrections and Rehabilitation, and the Miami-Dade Juvenile Services Department share the system. ","County","Face Recognition","DataWorks Plus","https://www.miamidade.gov/smallbusiness/library/reports/sbe/rqet1700012-project-package.pdf","","Government document ","","02/07/2017","https://www.wlrn.org/post/miami-dade-mugshots-could-soon-be-added-one-largest-facial-recognition-databases-us","","wlrn","","11/08/19","","","","","",""
"AOS0166","Miami","Miami-Dade County","FL","Miami-Dade Corrections and Rehabilitation","Corrections","In 2017, Miami-Dade County signed a contract with Dataworks to renew face recognition services for three years. The Miami-Dade Police Department, Miami Dade Corrections and Rehabilitation, and the Miami-Dade Juvenile Services Department share the system. ","County","Face Recognition","DataWorks Plus","https://www.miamidade.gov/smallbusiness/library/reports/sbe/rqet1700012-project-package.pdf","","Government document ","","02/07/2018","","","","","","","","","","",""
"AOS0167","Miami","Miami-Dade County","FL","Miami-Dade Juvenile Services Department","Juvenile","In 2017, Miami-Dade County signed a contract with Dataworks to renew face recognition services for three years. The Miami-Dade Police Department, Miami Dade Corrections and Rehabilitation, and the Miami-Dade Juvenile Services Department share the system. ","County","Face Recognition","DataWorks Plus","https://www.miamidade.gov/smallbusiness/library/reports/sbe/rqet1700012-project-package.pdf","","Government document ","","02/07/2019","","","","","","","","","","",""
"AOS0168","North Chesterfield","Chesterfield County","VA","Virginia State Police","Police","The Virginia State Police Department uses Dataworks Plus face recognition software. As of 2016, VSP had access to more than 1.2 million mugshots. ","State","Face Recognition","DataWorks Plus","https://www.perpetuallineup.org/jurisdiction/virginia","","The Perpetual Line-Up
","","2016","","","","","","","","","","",""
"AOS0215","Marietta","Cobb County","GA","Cobb County Police Department","Police","The Cobb County Police Department acknowledged in January 2020 that the agency uses face recognition technology.","County","Face Recognition","","https://web.archive.org/web/20200118015353/https://www.mdjonline.com/news/cobb-police-we-don-t-want-to-be-a-police/article_ac5da082-389a-11ea-962b-ff645b0c0285.html","","Marietta Daily Journal","","01/17/2020","","","","","","","","","","",""
"AOS0224","Raleigh","Wake County","NC","Raleigh Police Department","Police","The Raleigh Police Department began using Dataworks face recognition technology in 2015. It also subscribed to Clearview AI's face recognition system in 2019, but then ceased using the software after six months. ","Municipal","Face Recognition","DataWorks Plus","https://www.wral.com/raleigh-police-abruptly-end-use-of-controversial-facial-recognition-tech/18933545/","","WRAL","","2/11/2020","https://www.muckrock.com/foi/raleigh-346/facial-recognition-systems-raleigh-police-department-35608/#file-171788","","MuckRock","","03/31/2017","","","","","",""
"AOS0225","Atlanta","DeKalb County, Fulton County","GA","U.S. Customs and Border Protection - Hartsfield-Jackson Atlanta International Airport","DHS","The Hartsfield-Jackson Atlanta International Airport is one of 18 airports where Customs and Border Protection is using face recognition technology as of March 2019. An executive order signed by Pres. Trump in 2019 requires Customs and Border Protection to install face recognition technology at the United States' top 20 airports by 2021.","Federal","Face Recognition","","https://www.buzzfeednews.com/article/daveyalba/these-documents-reveal-the-governments-detailed-plan-for","","Buzzfeed","","3/11/2019","https://techcrunch.com/2020/03/12/homeland-security-airport-face-recognition/","","TechCrunch","","3/12/2020","","","","","",""
