case_number,case_type,case_status,district,main_address,parcel,assigned_to,"Opened
Date","Closed
Date"
TRSH-000332-2019,Trash/Debris,Unfounded,<NONE>,"6024 Sandy Springs Cir,",NA,Shane Peeples,03/08/2019,03/08/2019
TRSH-001277-2017,Trash/Debris,New Complaint,<NONE>,NA,NA,Unique Nelson,08/09/2017,NA
GRA-000275-2020,Grass and Weeds,Closed,"Council District
1","600 Nesbit Lake Ct, Sandy
Springs, GA 30350",06 031200030205,"Marcellus
Hampton",02/25/2020,06/18/2020
GRA-000351-2017,Grass and Weeds,"Voluntary
Compliance","Council District
1","670 Amster Green Dr,
Sandy Springs, GA 30350",06 038400030018,Paula Allen,03/20/2017,04/20/2017
GRA-000383-2017,Grass and Weeds,Closed,"Council District
1","0 Jett Ferry Rd, Sandy
Springs, GA 30350",06 0342  LL0583,Paula Allen,03/24/2017,10/26/2017
GRA-000419-2017,Grass and Weeds,Closed,"Council District
1","8885 Roberts Dr, Sandy
Springs, GA 30350",06 036500010146,Paula Allen,03/31/2017,10/26/2017
GRA-000482-2017,Grass and Weeds,Closed,"Council District
1","8891 Roberts Dr, Sandy
Springs, GA 30350",06 036500010161,Paula Allen,04/11/2017,07/21/2020
GRA-000483-2017,Grass and Weeds,Closed,"Council District
1","8889 Roberts Dr, Sandy
Springs, GA 30350",06 036500010161,Paula Allen,04/11/2017,06/11/2020
GRA-000515-2017,Grass and Weeds,Closed,"Council District
1","8901 Roberts Dr, Sandy
Springs, GA 30350",NA,Paula Allen,04/13/2017,06/08/2020
GRA-000518-2017,Grass and Weeds,Closed,"Council District
1","8887 Roberts Dr, Sandy
Springs, GA 30350",NA,Paula Allen,04/13/2017,06/08/2020
GRA-000519-2017,Grass and Weeds,Closed,"Council District
1","8885 Roberts Dr, Sandy
Springs, GA 30350",NA,Paula Allen,04/13/2017,06/08/2020
GRA-000540-2017,Grass and Weeds,Closed,"Council District
1","7620 Ball Mill Rd, Sandy
Springs, GA 30350",06 0353  LL0506,Paula Allen,04/17/2017,07/21/2020
GRA-000564-2017,Grass and Weeds,Closed,"Council District
1","541 Northridge Crossing Dr,
Sandy Springs, GA 30350",NA,Paula Allen,04/19/2017,04/10/2020
GRA-000566-2017,Grass and Weeds,Closed,"Council District
1","565 Northridge Crossing Dr,
Sandy Springs, GA 30350",NA,Paula Allen,04/19/2017,08/31/2017
GRA-000623-2017,Grass and Weeds,Closed,"Council District
1","105 Nesbit Ferry Pl, Sandy
Springs, GA 30350",06 031200030395,Paula Allen,04/25/2017,02/25/2020
GRA-000645-2020,Grass and Weeds,"Voluntary
Compliance","Council District
1","525 Valley Hall Dr, Sandy
Springs, GA 30350",06 035100020083,"Marcellus
Hampton",04/14/2020,04/16/2020
GRA-000675-2019,Grass and Weeds,Closed,"Council District
1","7736 Spalding Dr, Sandy
Springs, GA 30092",06 0313  LL0091,"Marcellus
Hampton",04/19/2019,05/02/2019
GRA-000761-2020,Grass and Weeds,"Voluntary
Compliance","Council District
1","7520 Mount Vernon Rd,
Sandy Springs, GA 30350",06 033800010025,"Marcellus
Hampton",05/06/2020,05/12/2020
GRA-000774-2019,Grass and Weeds,Closed,"Council District
1","105 Nesbit Ferry Pl, Sandy
Springs, GA 30350",06 031200030395,"Marcellus
Hampton",04/30/2019,05/06/2019
GRA-000800-2017,Grass and Weeds,Closed,Council District 1,"541 Northridge Crossing Dr, Sandy Springs, GA 30350",17 002500040605,Paula Allen,05/18/2017,07/21/2020
GRA-000807-2020,Grass and Weeds,Closed,"Council District
1","520 Northridge Crossing Dr,
Sandy Springs, GA 30350",17 002500040019,"Marcellus
Hampton",05/11/2020,06/09/2020
GRA-000808-2020,Grass and Weeds,Closed,"Council District
1","524 Northridge Crossing Dr,
Sandy Springs, GA 30350",17 002500040035,"Marcellus
Hampton",05/11/2020,05/26/2020
GRA-000809-2020,Grass and Weeds,Closed,"Council District
1","522 Northridge Crossing Dr,
Sandy Springs, GA 30350",17 002500040027,"Marcellus
Hampton",05/11/2020,05/26/2020
GRA-000818-2020,Grass and Weeds,Closed,"Council District
1","8861 Long Beach Circle Dr,
Sandy Springs, GA 30350",NA,"Marcellus
Hampton",05/12/2020,05/26/2020
GRA-000819-2019,Grass and Weeds,Closed,"Council District
1","535 Valley Hall Dr, Sandy
Springs, GA 30350",06 035100020240,"Marcellus
Hampton",05/07/2019,06/04/2019
GRA-000819-2020,Grass and Weeds,Closed,"Council District
1","8821 Long Beach Cir,
Sandy Springs, GA 30350",06 036500040267,"Marcellus
Hampton",05/12/2020,05/26/2020
GRA-000822-2020,Grass and Weeds,Closed,"Council District
1","540 Northridge Crossing Dr,
Sandy Springs, GA 30350",17 002500040092,"Marcellus
Hampton",05/12/2020,07/08/2020
GRA-000823-2020,Grass and Weeds,Closed,"Council District
1","550 Northridge Crossing Dr,
Sandy Springs, GA 30350",17 002500020011,"Marcellus
Hampton",05/12/2020,05/22/2020
GRA-000825-2020,Grass and Weeds,Closed,"Council District
1","560 Northridge Crossing Dr,
Sandy Springs, GA 30350",17 002500020052,"Marcellus
Hampton",05/12/2020,05/22/2020
GRA-000830-2019,Grass and Weeds,Closed,"Council District
1","8897 Roberts Dr, Sandy
Springs, GA 30350",06 036500010195,"Marcellus
Hampton",05/08/2019,08/14/2020
GRA-000834-2019,Grass and Weeds,Closed,"Council District
1","600 Nesbit Lake Ct, Sandy
Springs, GA 30350",06 031200030205,"Marcellus
Hampton",05/08/2019,05/20/2019
GRA-000843-2017,Grass and Weeds,Closed,"Council District
1","565 Valley Hall Dr, Sandy
Springs, GA 30350",06 035100020190,Paula Allen,05/24/2017,02/12/2020
GRA-000845-2020,Grass and Weeds,Closed,"Council District
1","562 Northridge Crossing Dr,
Sandy Springs, GA 30350",NA,"Marcellus
Hampton",05/15/2020,05/22/2020
GRA-000846-2020,Grass and Weeds,Closed,"Council District
1","564 Northridge Crossing Dr,
Sandy Springs, GA 30350",17 002500020060,"Marcellus
Hampton",05/15/2020,05/22/2020
GRA-000847-2020,Grass and Weeds,Closed,"Council District
1","566 Northridge Crossing Dr,
Sandy Springs, GA 30350",17 002500020086,"Marcellus
Hampton",05/15/2020,05/22/2020
GRA-000849-2020,Grass and Weeds,Closed,"Council District
1","8155 Roswell Rd, Sandy
Springs, GA 30350",17 002500030630,"Marcellus
Hampton",05/15/2020,05/22/2020
GRA-000866-2019,Grass and Weeds,Closed,"Council District
1","8899 Roberts Dr, Sandy
Springs, GA 30350",06 036500010260,"No User
Assigned",05/10/2019,05/20/2019
GRA-000867-2019,Grass and Weeds,Closed,"Council District
1","4140 Spalding Dr, Sandy
Springs, GA 30350",06 0312  LL0449,"No User
Assigned",05/10/2019,05/14/2019
GRA-000872-2017,Grass and Weeds,Closed,"Council District
1","6010 Spalding Dr, Sandy
Springs, GA 30350",06 031200040022,Paula Allen,05/30/2017,05/31/2017
GRA-000874-2019,Grass and Weeds,Closed,"Council District
1","4055 Spalding Dr, Sandy
Springs, GA 30350",06 031200020172,"Marcellus
Hampton",05/13/2019,06/10/2020
GRA-000876-2019,Grass and Weeds,Closed,Council District 1,"7320 Chattahoochee Bluff Dr, Sandy Springs, GA
30350",06 033600010407,Marcellus Hampton,05/14/2019,05/20/2019
GRA-000877-2019,Grass and Weeds,Closed,Council District 1,"7180 Cherry Bluff Dr, Sandy Springs, GA 30350",06 033600020414,Marcellus Hampton,05/14/2019,05/20/2019
GRA-000886-2019,Grass and Weeds,Closed,"Council District
1","8821 Long Beach Cir,
Sandy Springs, GA 30350",06 036500040267,"Marcellus
Hampton",05/15/2019,05/20/2019
GRA-000887-2019,Grass and Weeds,Closed,"Council District
1","8835 Long Beach Cir,
Sandy Springs, GA 30350",06 036500040259,"Marcellus
Hampton",05/15/2019,05/20/2019
GRA-000890-2019,Grass and Weeds,Closed,"Council District
1","500 Spalding Hills Ct, Sandy
Springs, GA 30350",06 035100040172,"Marcellus
Hampton",05/16/2019,05/28/2019
GRA-000910-2019,Grass and Weeds,Closed,"Council District
1","7190 Cherry Bluff Dr,
Sandy Springs, GA 30350",06 033600020422,"Marcellus
Hampton",05/20/2019,05/24/2019
GRA-000911-2019,Grass and Weeds,Closed,"Council District
1","7105 Cherry Bluff Dr,
Sandy Springs, GA 30350",06 033600020265,"No User
Assigned",05/20/2019,05/24/2019
GRA-000932-2019,Grass and Weeds,Closed,"Council District
1","415 Waterridge Ct, Sandy
Springs, GA 30350",06 0351  LL0854,"Marcellus
Hampton",05/22/2019,05/28/2019
GRA-000948-2017,Grass and Weeds,Transferred,"Council District
1","0 Roberts Dr, Sandy
Springs, GA 30350",06 0361  LL0316,Kenneth Brown,06/08/2017,NA
GRA-000980-2020,Grass and Weeds,Closed,"Council District
1","1620 Saddle Ridge Way,
Sandy Springs, GA 30350",06 035300030247,"Marcellus
Hampton",05/21/2020,06/10/2020
GRA-000981-2020,Grass and Weeds,Closed,"Council District
1","1630 Chevron Way, Sandy
Springs, GA 30350",06 035300020131,"Marcellus
Hampton",05/21/2020,07/22/2021
GRA-000998-2017,Grass and Weeds,Closed,"Council District
1",NA,NA,Paula Allen,06/16/2017,02/05/2020
GRA-001017-2019,Grass and Weeds,Closed,"Council District
1","8861 Roberts Dr, Sandy
Springs, GA 30350",06 036500010013,"Marcellus
Hampton",06/05/2019,06/12/2019
GRA-001026-2019,Grass and Weeds,Closed,"Council District
1","100 Cat Cay Ct, Sandy
Springs, GA 30350",06 035600050101,"Marcellus
Hampton",06/05/2019,06/24/2019
GRA-001063-2019,Grass and Weeds,Closed,"Council District
1","8851 Long Beach Cir,
Sandy Springs, GA 30350",06 036500020210,"Marcellus
Hampton",06/12/2019,06/24/2019
GRA-001064-2019,Grass and Weeds,Closed,"Council District
1","8843 Long Beach Cir,
Sandy Springs, GA 30350",06 036500040218,"Marcellus
Hampton",06/12/2019,06/24/2019
GRA-001066-2017,Grass and Weeds,Closed,"Council District
1","0 Pitts Rd, Sandy Springs,
GA 30350",06 038400012123,Paula Allen,06/30/2017,04/16/2020
GRA-001068-2019,Grass and Weeds,Closed,"Council District
1","8890 Long Beach Cir,
Sandy Springs, GA 30350",06 036500020392,"Marcellus
Hampton",06/12/2019,06/24/2019
GRA-001091-2020,Grass and Weeds,Closed,"Council District
1","455 Tahoma Dr, Sandy
Springs, GA 30350",17 002400020012,"Marcellus
Hampton",05/26/2020,06/17/2020
GRA-001102-2020,Grass and Weeds,Closed,"Council District
1","4045 Spalding Dr, Sandy
Springs, GA 30350",06 031200020180,"Marcellus
Hampton",05/27/2020,06/10/2020
GRA-001103-2020,Grass and Weeds,Closed,"Council District
1","5022 Spalding Dr, Sandy
Springs, GA 30350",06 031200030072,"Marcellus
Hampton",05/27/2020,06/10/2020
GRA-001107-2019,Grass and Weeds,Unfounded,"Council District
1","7763 Stables Dr, Sandy
Springs, GA 30350",06 033700010174,"Marcellus
Hampton",06/18/2019,06/19/2019
GRA-001111-2017,Grass and Weeds,Closed,"Council District
1","1050 Pitts Rd, Sandy
Springs, GA 30350",17 0024  LL0791,Paula Allen,07/12/2017,04/16/2020
GRA-001130-2017,Grass and Weeds,Closed,"Council District
1","8843 Long Beach Cir,
Sandy Springs, GA 30350",06 036500040218,Paula Allen,07/14/2017,03/09/2020
GRA-001132-2017,Grass and Weeds,Closed,"Council District
1","8841 Long Beach Cir,
Sandy Springs, GA 30350",NA,Paula Allen,07/14/2017,03/09/2020
GRA-001132-2019,Grass and Weeds,Closed,"Council District
1","592 Northridge Crossing Dr,
Sandy Springs, GA 30350",17 002500020177,"Marcellus
Hampton",06/24/2019,07/01/2019
GRA-001133-2019,Grass and Weeds,Closed,"Council District
1","485 Granite Ridge Pl, Sandy
Springs, GA 30350",17 002500040217,"Marcellus
Hampton",06/24/2019,07/01/2019
GRA-001137-2019,Grass and Weeds,Closed,"Council District
1","8815 Applegate Ln, Sandy
Springs, GA 30350",06 036500030300,"Marcellus
Hampton",06/24/2019,07/01/2019
GRA-001143-2019,Grass and Weeds,Closed,"Council District
1","7766 Stables Dr, Sandy
Springs, GA 30350",06 033700010349,"Marcellus
Hampton",06/24/2019,12/17/2020
GRA-001148-2019,Grass and Weeds,Closed,"Council District
1","9300 Roberts Dr, Sandy
Springs, GA 30350",06 0366  LL0220,"Marcellus
Hampton",06/25/2019,07/08/2019
GRA-001149-2017,Grass and Weeds,Closed,"Council District
1","905 Roberts Landing Cv,
Sandy Springs, GA 30350",06 0366  LL0576,Paula Allen,07/17/2017,02/12/2020
GRA-001172-2019,Grass and Weeds,Closed,"Council District
1","7820 Holcomb Bridge Rd,
Sandy Springs, GA 30092",06 0313  LL0133,"Marcellus
Hampton",06/28/2019,07/10/2019
GRA-001177-2017,Grass and Weeds,Closed,"Council District
1","0 Mount Vernon Rd, Sandy
Springs, GA 30350",06 0338  LL0159,Michael Franklin,07/24/2017,10/04/2017
GRA-001187-2020,Grass and Weeds,Closed,"Council District
1","515 Granite Ridge Pl, Sandy
Springs, GA 30350",17 002500040290,"Marcellus
Hampton",06/04/2020,06/12/2020
GRA-001188-2020,Grass and Weeds,Closed,"Council District
1","517 Granite Ridge Pl, Sandy
Springs, GA 30350",17 002500040308,"Marcellus
Hampton",06/04/2020,06/09/2020
GRA-001189-2020,Grass and Weeds,Closed,"Council District
1","519 Granite Ridge Pl, Sandy
Springs, GA 30350",17 002500040316,"Marcellus
Hampton",06/04/2020,06/22/2020
